Rank,Video_ID,Title,Channel,Upload_Time,Duration,View_Count,Like_Count,Comment_Count,Total_Heat_Score,Appearance_Count
1,sosJyyjUL6I,「名偵探柯南 高速公路的墮天使」中文電影預告,Anime & Movie 普威爾,2026-05-21T07:24:58Z,00:01:58,105066,2415.0,135,340,7
2,gMxAUI35O-g,glass,Gareth.T - Topic,2026-05-19T10:00:48Z,00:03:06,1191426,21867.0,313,335,7
3,tkwD6DLp62k,玖壹壹(Nine one one) 洋蔥 Onion - 我甘願重新愛過 Feat.狗柏 官方MV首播,玖壹壹,2026-05-20T09:20:06Z,00:04:26,315668,7383.0,347,302,7
4,PJyFND4-zR4,Jay Chou 周杰倫【Aurora in July 七月的極光】Official Music Video,周杰倫 Jay Chou,2026-05-20T04:00:04Z,00:03:10,2124962,12045.0,1046,298,7
5,1jKnI_ib8c8,ITZY “Motto” M/V,JYP Entertainment,2026-05-18T09:00:00Z,00:03:19,9068049,306986.0,30851,262,7
