Rank,Video_ID,Title,Channel,Upload_Time,Duration,View_Count,Like_Count,Comment_Count,Total_Heat_Score,Appearance_Count
1,SlQR9iu09bQ,SON TUNG M-TP x TYGA | COME MY WAY | OFFICIAL MUSIC VIDEO,Sơn Tùng M-TP Official,2026-05-28T13:00:06Z,00:04:18,23274309,1198408.0,165505,279,6
2,83C3TZ4Zm_o,aespa 에스파 'LEMONADE' MV,SMTOWN,2026-05-29T04:00:16Z,00:03:12,16144327,589983.0,34206,250,5
3,LBhcqYqeu0U,LEMONADE,aespa - Topic,2026-05-29T04:02:48Z,00:03:07,3192075,56853.0,1061,226,5
4,f6aYUpkNbkA,Marz23【觀自在 Avalokiteśvara】Official Music Video,Marz23,2026-05-26T13:00:06Z,00:03:52,282357,4720.0,266,202,6
5,Vfryu4DeWrc,還是會想念,BK - Topic,2026-05-28T16:00:37Z,00:04:04,172288,2062.0,130,197,5
