Comment_Author,Comment_Text,Comment_Date,Like_Count
@DucVigy,"I'm a Vietnamese born in Germany. I rarely listen to Vietnamese music, but since I learned about Son Tung, I've listened to it more. Yesterday he released a new song and I quite like it. When I do housework or have free time, I listen to it. I'm not sure how many times, probably about 40 or 50. I'll play this song for my German friends to listen to. 🤭🤭",2026-05-30T06:21:33Z,1089
@OneBnine,That was incredible for an international song with a Vietnamese singer,2026-05-29T13:51:21Z,830
@ntt_006ig3,Cmt này được 100 tim mai tôi mở cho cả trường HaUI tôi nghe,2026-05-31T05:07:57Z,431
@nguyenthingocloan9669,Sáng ra đã phải vào nghe vì ghiền quá ghiền r,2026-06-03T01:11:06Z,6
@wed14th_10,"I'm from Argentina, and a Korean friend introduced me to this song. It's amazing! 🎉🎉",2026-05-30T13:26:41Z,1244
@とみやす1911,私はベトナム人に勧められて、MTPの音楽作品を知りました。メロディーがとても素晴らしいです。❤,2026-05-30T08:14:13Z,1182
@NguoiAn-mn2pf,"Chắc giờ k còn ai cày đâu , mỗi tôi cày 3 ngày mà k được 1 like , buồn quá",2026-06-01T01:23:36Z,1714
@ThuyThu-bj4fg,tôi nghe cả ngày không chán,2026-06-03T01:38:06Z,16
@Vmtam995,số người cày hôm nay 👇👇👇👇,2026-06-02T14:06:37Z,603
@jodievklove6750,THIS IS ABSOLUTELY BRILLIANT AND BEAUTIFUL I LOVE SON TUNG mtp,2026-05-28T13:17:24Z,597
@VerdeBossaCafeBGM,"Tôi đang học ở bên Mỹ, comment này đạt 1k Tym mai tôi bật cho cả trường nghe :)))))",2026-05-28T15:02:10Z,10850
@huynhngot1067,"Giờ t thấy view gì :))) nhưng đây mv like 1tr nhanh nhất VN rồi còn gì đỉnh, view có thể lên chậm hơn những bài trước nhưng vẫn đỉnh ác",2026-06-03T03:49:12Z,24
@TOKYOGEISHATEI,"Dù ai nói ngả nói nghiêng , chị vẫn cứ rảnh là cày view cho Tùng .
Rất tự hào về em .
From Japan .
Hnay là ngày tiếp theo chị cày View rồi .
Yêu và thương Tùng .❤",2026-05-30T04:52:49Z,518
@us_ti_na6437,Love from Northeast India 🇮🇳,2026-05-31T10:49:35Z,837
@Hazel2943qq,From Myanmar with love❤❤❤,2026-05-31T06:51:06Z,740
@TrucLinh_lovely18,"Ai mấy ngày qua vẫn miệt mài cày thì 
👇ạ",2026-06-03T04:52:12Z,10
@nguyenthanhnhan.18,"Thật sự mình rất muốn Tùng có MV đạt 1 tỷ view, bài hát viral toàn cầu🎉",2026-05-27T06:24:54Z,587
@NguyenDuy-uq9cl,AE ơi???😢😢😢 Còn ai ở đây không????😢😢😢😢 Lên tiếng để biết tôi không Cô Đơn🎉🎉🎉🎉🎉,2026-06-01T08:42:30Z,7941
@FoodDiscoveryTV,The song is beautiful and impressive. I think it will thrive in Habhf in many countries🎉,2026-05-30T05:50:04Z,981
@nghiaang7900,"Nhìn biểu tượng mà ST đưa lên tôi thấy tự hào quá, xem mà nổi da gà. Chúc mừng Sơn Tùng MTP...",2026-06-03T01:58:42Z,3
@SoulVintageArtTV,"Absolutely amazing! I'll probably visit Vietnam next week. Thank you, Son Tung, for showing me the beauty of your country. I love Vietnam.",2026-05-28T16:31:56Z,859
@Messiahoffootball,"First time listening to Sontung and just wow, what a unique vocal and style he has, and tyga I have been listening to him for over a decade, great song 🔥🥂",2026-05-28T18:33:07Z,750
@AP.anggieoffcial,Keren salam dari Indonesia 🇮🇩,2026-05-30T01:11:44Z,1926
@dphuongvan5151,Still here for u MTP,2026-06-03T04:38:56Z,8
@sanelethabethe3328,Beautiful song. South Africa approves 👌,2026-05-30T09:53:00Z,1644
@LuisitoRamirez-n3g,Wow my idol son tung MABUHAY Philippines ❤❤❤😮😮😮,2026-05-29T10:39:36Z,620
@Dantmiz,"As a American, I find the lyrics and melody of this song very harmonious, and I hope it will gain wider recognition in the international music scene.",2026-05-28T17:11:05Z,809
@DoNguyen_1989,Có ai thấy nhạc cuối bài vừa yên bình vừa có chút buồn không nhỉ,2026-06-03T01:48:10Z,6
@riaandriya,"I’m Indonesian, living in Australia and I love your songs 🫶✨ 1:05",2026-05-30T00:08:10Z,1354
@이은희-i6v,아무리 들어도 노래 질리지 않아요👍🏻,2026-05-30T20:40:39Z,829
@ランアン-r8p,i can hear this song all day;))))))))),2026-06-01T04:02:36Z,579
@nguyenthingocloan9669,"Nhạc quá hay, ko chê vaod đâu đc",2026-06-03T01:09:22Z,4
@chojj777,나의 최애 베트남 싱어 ^^,2026-05-28T18:15:03Z,821
@baothuremix1032,"Số người còn đang cày mỗi ngày
👇",2026-05-31T10:09:28Z,1478
@tiktoktok-u7z,The visual narrative is incredibly evocative; it adds such a profound layer to the song.,2026-05-28T16:16:49Z,476
@hdtunderground743,2030 còn ai nghe không.lên tiếng đi để tui k thấy cô đơn,2026-06-03T04:20:17Z,6
@aagustawedre,"Здравствуйте, я из России, сейчас живу в Москве. Мой друг познакомил меня с вьетнамским художником Сон Тунгом М-ТП. Мои ощущения после прослушивания Come My Way были действительно хорошими. меня очаровывает и напоминает мне о моем возлюбленном в прошлом
Спасибо вьетнамским друзьям, любовь приходит из России 🇷🇺❤️🇻🇳
👇🏻",2026-06-01T05:13:07Z,714
@sondo-q1l9o,3k tim cày viu cho sếp cả ngày cn ko đi đâu luôn,2026-05-30T09:13:49Z,884
@Vhaltir,Very wild and professional,2026-05-30T01:27:28Z,778
@EmNamCEO,"Vẫn đang cày nhé , bầu trời của anh Tùng vẫn và sẽ luôn ủng hộ anh❤",2026-06-03T03:55:45Z,3
@quitrong8728,Cày view cả ngày mà không ai cho 1 like tiếp năng lượng 😢,2026-05-29T09:35:32Z,6699
@kupi72f15,2 ngày nghỉ cuối tuần cày hơn 200 view mà k đc 1 like của sky .. buồn,2026-05-31T02:25:53Z,954
@TiếnVũNgọc-c8p,4h21 sáng :) còn thức xin 1 tym lấy động lực nghe tiếpppp 😊,2026-05-28T21:21:50Z,3087
@bảotrân-z8y6j,Số người còn đang cày ạ cho em xin cánh tay đi 🎉🎉❤❤,2026-06-03T06:04:04Z,5
@ninhtue,Gần 40 tuổi vẫn cày view cho Sếp từ tối qua mà khum ai like,2026-05-29T03:26:39Z,2364
@MinhNguyễn-o7t6u,Có ai đang nghe ko dậy ra tín hiệu cho tôi biết vớiii,2026-06-02T07:53:46Z,237
@Maihoang19x,"Cởi lạc hồng vươn ra thế giới 😍 , dù nghe chẳn hiểu gì nhưng vẫn ủng hộ sơn tùng",2026-05-30T04:13:54Z,465
@phuonglemai3598,son tùng đỉnh nhất việt nam,2026-06-03T02:47:57Z,3
@JayssAreJaysey3110,my idol come back yaaaaaaahhhhhh 🥹🤟🙌🔥🔥🔥🔥🔥,2026-05-30T10:49:24Z,726
@ngcmnopfp,1 TIM= 1VIEW😊,2026-05-29T11:27:08Z,2389
@AngelinaEonni88,"Been waiting🤩 Sơn Tùng always bring amazing music, fantastic collab🔥",2026-05-28T15:49:20Z,432
@tuhoang1423,"ra mắt 5 ngày r, ngày nào cx phải nghe đã thật sự sky ơi❤❤",2026-06-03T04:25:12Z,2
@kazuma_music_youtube,私はこの曲を2時間ずっと聴いていますが、とても気に入っています。ベトナムの音楽は本当に魅力的ですね,2026-05-29T12:52:38Z,1110
@nanbolponman9856,Love this song on a repeat more love from Nigerian son,2026-05-29T22:24:41Z,1128
@NhậtLinhNgô-q4q,ST M-TP you're pride of Viet Nam,2026-06-03T04:35:48Z,2
@ThịnhGia-h7x,Mỗi lần có người like mình vào cày mv cho sếp,2026-05-27T22:17:36Z,5084
@moyapipi,ずっと新曲を楽しみに待ってました！今回もかっこいい、最高！いつか日本にも来てください🥰🇻🇳🫶🇯🇵,2026-05-28T23:54:49Z,973
@Heyyiammary_official,"This collaboration is absolutely insane! 💥 Son Tung M-TP and Tyga killed it. The vibe, the visuals, the beat... everything is top-tier. Vietnam's music scene is really global now! Big love from 'Vietnam'🇻🇳🔥",2026-05-28T13:59:51Z,538
@nguyenthuanh6051,"Quá tuyệt vời, quá tự hào",2026-06-03T02:00:19Z,2
@17vlogs94,"Tôi xin nghỉ 2 ngày cày view cho sếp luôn r, ae 17 đâu rồi Thái Bình mãi đỉnh , Việt Nam mãi đình 🎉🎉🎉",2026-05-29T14:46:04Z,364
@MusicalMemories1950,"Tôi làm ở đài phát thanh Phường, comment này được 1.5K Tym sáng mai 6h tôi bật cho cả Phường nghe :)))))",2026-05-28T15:04:11Z,11894
@duongbap2001,"Bao bao nhiêu lâu rồi, tên của anh nằm trên đỉnh cao bao nhiêu lâu rồi ✊✊✊",2026-05-28T11:28:23Z,371
@Hathitham_89.bq-hg,Nhạc hay quá,2026-06-03T04:18:55Z,4
@GMotion1011,COME MY WAY HAY QUA,2026-05-29T00:56:03Z,1270
@tienqb.official,"Vươn tầm cỡ thế giới như này. Là người Việt hãy tự hào dân tộc, không có nghệ sĩ nào ở Việt Nam từ trước đến thời điểm hiện tại làm được như Sơn Tùng. Quá hãnh diện ❤",2026-05-30T02:00:18Z,1245
@LayziiOfficial,Sắp nổ r 🔥,2026-05-27T14:08:08Z,228
@mtp4764,"Tùng ơi, yêu anh lắm",2026-06-03T01:34:49Z,3
@MeeRemix,cmt này dc 1k tym bật hết máy công ty cày tới sáng,2026-05-28T13:27:47Z,26473
@198xballad,Sơn Tùng mỗi lần comeback là y như rằng YouTube lại nóng lên,2026-05-28T06:25:19Z,465
@nguyenhuan8664,Top những người nghe tiếng anh k hiểu như vẫn cứ nghe 😍,2026-05-28T13:04:04Z,4524
@leanhhung444,"Đã nghe liên tục 5 ngày, hiện tại và tương lai cũng thế.
Hãy cho tôi thấy là tôi không cô đơn đi.",2026-06-03T06:39:38Z,2
@SimonLyy,GOAT 🐐🐐🐐🐐,2026-05-27T07:34:04Z,262
@chumis46,メロディーとリズムが良いし、中毒性がある神曲だ！,2026-05-28T13:40:44Z,399
@phonglinhmusic,"Người ta nói không ai thành công mà dễ dàng… Nhìn hành trình của Sơn Tùng M-TP từ những ngày đầu đến hôm nay mới thấy nghị lực đáng nể thế nào. Fan quê nhà luôn tự hào về anh ❤Theo dõi Sơn Tùng M-TP từ thời ‘Cơn Mưa Ngang Qua’, hôm nay nhìn anh feat cùng Tyga mà khâm phục sát đất luôn, tự hào vì Việt Nam có nghệ sĩ vươn tầm thế giới🎉🎉😍😍",2026-05-28T10:19:23Z,1779
@Tracy-208,I love this song 💗💗💗,2026-06-03T06:10:36Z,3
@cuongbui5274,Sending love from Australia. Proud of you!! Hit likes to repeat the song ❤,2026-05-28T14:16:13Z,356
@truongquytram,hôm nay 20M mọi người nhé,2026-05-30T22:55:40Z,420
@son2tgaming,"#1 trending in Vietnam, you are the best singer in Vietnam. I really love Son Tung M-TP!!",2026-05-28T13:11:58Z,442
@NgườilínhViệtNam-f4w,idol từ năm cấp 2 tới giờ. Vẫn đang cày cho sếpp❤❤ Moi người cho xin một tim nàoo,2026-06-03T02:05:15Z,2
@duoc-moi,Thật vui vì giờ thấy nghệ sĩ lớn nước mình mang văn hoá Việt Nam ra thế giới. Ủng hộ Tùng!!!,2026-05-28T23:09:02Z,635
@tanhuyhaa,Nghe lần đầu bth nhưng nghe lại vài lần thấy sang ghiaaaa🎉🎉🎉,2026-05-28T13:21:51Z,191
@Pisu7886,"Sơn Tùng h đã ở vị thế mà không cần làm nhạc theo xu thế thị trường, ẻm làm những gì mà ẻm thích, ẻm trải nghiệm những xu thế mới, có thể không hợp tai một số khán thính giả nhưng tài năng, tâm huyết của Sơn Tùng là điều không thể phủ nhận.",2026-05-29T03:05:05Z,1088
@nguyenthingocloan9669,Bài này nghe ko bao h chán luôn yyyyyyyy,2026-06-03T01:10:10Z,2
@Thiên-Hoàng.1706,Nghe bài này từ đêm đến sáng luôn nhé mn,2026-05-29T01:17:56Z,255
@jaykaytoichoi,"Tôi tin đây là khởi đầu của 1 album, tôi sẽ vẫn đợi cho đến khi cmt này thành sự thật !",2026-05-28T14:09:35Z,262
@NickyphoneRealverse,"Come my way - Điểm danh những ai ở đây nào
1 tr like cạo đầu hình Sơn Tùng MTP luôn
Việt Nam nói là làm",2026-05-28T13:14:55Z,5240
@mongyuumusic,Comment này được 1k like tôi thề nghe đến chết thì thôi! Sky ơiiiiiii,2026-05-28T10:38:43Z,4410
@kineticdeephouse,Comment này mà được 3k Tym mai ad bật cho cả làng nghe ,2026-05-28T14:50:01Z,3734
@hoangtitv9104,3:35 sáng vẫn còn cày view mặc dù ko ai like cmt 😢,2026-05-28T20:35:23Z,1629
@truonggiang5186,Lại một ngày mới năng lượng,2026-06-03T01:59:40Z,2
@R·Iraguha,1:03  Many of us love this song; I think that in 7 days we'll reach 100 million views on this video.,2026-05-28T23:44:21Z,402
@CôngThành-x3k,"Come my way thuộc thể loại Afrobeats, mà ở Việt Nam không phổ biến thể loại này nên có người không thấy hay cũng không gì là lạ . Lúc Sơn Tùng làm bài này chắc chắn cũng biết thừa sẽ có người không thích. Nhưng đó là điểm t thích ở Sơn Tùng, dám thay đổi, dám thử, dám làm, mang âm nhạc Việt Nam ra thế giới. Nhìn come my way lọt top trending ở nước ngoài là biết ngay. Và yên tâm đây chỉ mà món mở màn cho album thôi, 2 năm không ra nhạc để chuẩn bị rồi thì không gì phải lo lắng cả, tận hưởng thôi",2026-05-29T11:28:19Z,3026
@HangTran-kh8ki,Càng nghe càng thấy hay ❤️❤️❤️,2026-05-29T07:09:44Z,324
@PhongNguyễn-g7s9d,Buổi trưa giải lao tranh thủ cày cho sếp❤,2026-06-03T06:22:50Z,4
@AnhKieu-u3o,Nhạc của ST mình thích ở chổ càng nghe nhiều càng nghiện,2026-05-29T05:19:14Z,303
@LumiBreezepop,"Tôi đang ở bên Nhật, đủ 1k tym mai tôi bật cho cả nước Nhật nghe :)))))))",2026-05-28T14:58:17Z,3580
@ToanNguyen-uz4lq,"Ý Nghĩa Nhất trong MV là Anh ấy đã Mang Biểu Tượng của nước Việt Xưa “Chim Lạc” vào MV….Peak never Max
 🎉🎉🎉🎉🎉🎉🎉🎉",2026-05-28T13:10:13Z,346
@HuyenThu-xu8io,Nghe hoài không thấy chán,2026-06-03T06:10:53Z,3
@QuangHàPhạm-y8y,10 triệu view rồi ae sky ơi !!!,2026-05-29T05:02:15Z,328
@Clorinde09-87,Yehhhhhh come my way,2026-05-28T11:07:53Z,126
@VMMediaLTD,Cmt này được 1k tim mai ở nhà cày view cho sếp <3,2026-05-28T15:08:02Z,1397
@TườngVy-s9d2r,xem xem xem xem nữa xem mãiiii,2026-06-03T01:54:30Z,2
@Hauthunhat,Những con người đã đến đây trước khi MV đạt 100M view 👇🏻,2026-05-28T13:06:54Z,7490
@KhoaNguyen-jr9jl,Ê sao sáng nay nghe lại thấy cuốn vậy ta ai giống ko,2026-05-29T00:45:41Z,270
@黄勋章,Love from china❤,2026-05-28T11:14:53Z,198
@Ngtanvienn,"1.2M rồi, ráng tuần này lên 30M ae ơiiii.",2026-06-03T06:17:06Z,3
@huynhquoctoan8195,"9 triệu rồi ae ơi, 10 triệu thẳng tiến nào 🎉🎉🎉🎉🎉🎉🎉",2026-05-29T02:52:23Z,606
@TúBảo-y1d,"Sáng dậy là mở lên nghe liền, ai như tui ko??",2026-05-28T23:51:10Z,375
@vanmenbui2006,"Bài của sếp phải nghe nhiều lần mới thấm dc,càng nghe càng hay❤❤",2026-05-28T23:47:38Z,237
@ucPhamThanh-ik6oj,sơn tùng mãi là vua,2026-06-03T02:17:25Z,2
@thaohienofficial85,"Đã ở đây từ lúc công chiếu và bây giờ là 8,3 triệu view. Và sẽ ở lâu nữa ạ....❤

* Cảm ơn vì 210 bác đã like ạ! ❤
* Điểm danh sáng 30/5: 1 triệu like, 14 triệu wiew",2026-05-29T00:30:44Z,439
@tigervn2448,Ai muốn MV đạt 100tr views điểm nhanh cái nào 🎉,2026-05-27T05:04:28Z,2121
@anhitnuoimeo,cày thông đêm đến tận lúc đi làm mà ko ai để ý 😢,2026-05-29T01:46:20Z,644
@vutrong3496,"có ai 3x mà ngày nào cũng vào cầy cho Sếp như tôi ko ? xin những cánh tay ae đang nghe hàng ngày
👇🏻",2026-06-03T04:27:01Z,5
@KuroMC136,Sếp tùng mãi đỉnh ❤,2026-05-28T05:36:06Z,160
@HoàiMỹ-j1u,Tối cày không được nhiều. Sáng T mở 4 tài khoản YouTube trên 4 trình duyệt coi liên tục. 1 cái mở tiếng còn lại tắt tiếng. Con t nó nghe nãy giờ. Nó cũng way…way’…way 😂,2026-05-29T05:38:24Z,169
@lynhlynh9629,Comment này được 3k likes tôi sẽ donate 1 triệu cho quỹ Trái tim cho em!,2026-05-29T02:31:44Z,6679
@VănQuyềnNguyễn-v2f,"Tuyệt vời, ủng hộ anh ra thêm nhiều sản phẩm nữa ạ. <3",2026-06-03T04:22:54Z,2
@juntocrewofficial,Mình là JUNTO Dance Crew - Nhóm Nhảy Tại Hà Nội. Cmt này đc 1k tim bên mình kêu gọi cả làng cả xóm vừa bật nhạc vừa nhảy bài này luôn!!!!!!!!,2026-05-28T15:06:40Z,872
@iamlam205,"Kẻ thách thức thì nhiều, nhưng ngai vàng trên đỉnh cao thì chỉ có một. Vua vẫn mãi là vua!👑🔥",2026-05-27T05:17:15Z,996
@NhatNguyen-jw4bf,Vừa canh con vừa cày view cho Sơn Tủng được 38 lượt xem vẫn không được 1 like nào từ sky đây này,2026-05-30T02:53:59Z,530
@ndh8661,"Còn 1,9N like nữa là đạt 1,2 triệu like rồi, cố lên mn",2026-06-03T03:56:40Z,4
@ĐạtĐàmƯớc,"Nhạc này vươn tầm quốc tế rồi, hay kinh khủng",2026-05-28T13:38:00Z,208
