Comment_Author,Comment_Text,Comment_Date,Like_Count
@yourcatzeye,this SONG OF THE SUMMER deserve more recognition 📢,2026-05-30T13:08:50Z,244
@westsectormobno1438,repeat button is made for aespa's discography. Always delivered,2026-06-02T08:11:43Z,8
@adinnuriya,Finally aespa comeback full album,2026-05-29T04:04:21Z,319
@maxknsv219,aespa are literally goddesses in making a powerhouse of bangers   and how overwhelming it is!!,2026-05-30T09:39:44Z,340
@Haebommyy,They were so happy to make lemonade,2026-05-30T00:40:40Z,277
@Ningtaoma,let's not lose hope and continue str3aming mys,2026-06-02T16:45:46Z,17
@MBsworld-l2z7r,"Rap, singing, cinematography, line distributions, dressing, everything is perfect",2026-05-30T03:55:12Z,189
@AbiyaNova,Kpop is no longer boring thank you Aespa for your service,2026-05-29T10:44:09Z,652
@Isahh-h,Aespa + new song = perfectly,2026-05-31T00:36:49Z,201
@cloudy_mallows,"Iove how whiplash sister has arrived, they can't stop serving cvnt, every verse are remarkable, i'm still crazy over this song",2026-06-03T00:57:12Z,13
@Max-my6rk,SM needs to promote both Lemonade and SwitchBlade in US.,2026-05-30T00:30:20Z,451
@Mr.kaya_4,SPICY + WHIPLASH = LEMONADE🍋,2026-05-29T06:29:31Z,839
@cellular-j7z,"The concept, the Vocals ,the visuals, the choreography, the styling... EVERYTHING IS 10/10",2026-05-29T15:22:47Z,364
@Pengamatlembuthere,STREAMING AND VOTING MY's!!!!! LET'S GETS A WIN FOR AESPA🔥,2026-06-02T15:38:06Z,16
@naiadu,"NINGNING'S ""MUCHAS GRACIAS MI AMOR"" IM OBSESSED",2026-05-29T04:20:46Z,1131
@blueriny,aespa are so happy to save kpop once again,2026-05-31T08:48:01Z,141
@i_like_you_3000,Winter doing both rap and high note in one song is Next Level,2026-05-29T06:13:19Z,247
@KQueenAespxrkles,Vote for aespa on MNET PLUS and IDOL CHAMP,2026-06-02T13:28:48Z,12
@hectorbiancha2343,This is their best by far. Essence and evolution.,2026-05-29T15:14:43Z,229
@FrankJohnGelera,"This is what KPOP is supposed to be Wacky,experimental and not afraid to be different and weird",2026-05-29T06:12:25Z,328
@ririmei.,WINTER'S RAP IS SO SMOOTH HELLO????,2026-05-31T09:47:32Z,238
@Sacha_evr,Happy 23 let’s get 24 then 25!,2026-06-02T16:40:50Z,24
@WardAwadelkarim,The stylist deserves a raise for sure 👌🏻,2026-05-29T06:07:57Z,212
@Blackpink_go_2026,"The legendary Aespa has returned with the same iconic concept, and I am so happy!!! Their four members are stronger than ever in the past few years😭😭😭",2026-06-01T14:12:00Z,170
@mizcomohd,This is the real kpop material,2026-05-31T02:03:15Z,253
@stillsaltbutter,"SONG OF THE YEAR, I REPEAT, SONG OF THE YEAR❕❕❕",2026-06-02T17:18:02Z,8
@marcxzh_,THE VISUAL THE MV THE CHOREOGRAPHY THE SONG THE RAP THE BRIDGE THE QUALITY AESPA DESERVES SOTY,2026-05-29T13:08:47Z,292
@louisng_0,Winter' part is INSANEEEEE,2026-05-29T04:02:58Z,3425
@levii_cly,Winter’s rap part came out of nowhere and it’s EVERYTHING!,2026-05-29T04:20:25Z,469
@Ning2_08,"Streaming, because I'm not just here for decoration in the fandom 😊",2026-06-02T19:19:51Z,7
@ChulbuliReshail,30 million in a week100 million in a month lets go stream hard mys,2026-06-01T18:15:55Z,105
@aqua025,It's like a combination of their previous MVs like whiplash and spicy but also has a new feel to the version,2026-05-29T06:39:33Z,406
@ReneeChan.1126,Shes a whole different animal my girls are stunning,2026-05-29T15:48:24Z,196
@putrimarifatulnurhasanah2841,"Wait, oh my got stop! New iconic part",2026-06-02T07:28:14Z,13
@ooddiinn,노래가 꽉 차서 좀 더 길게 느껴지는 거 같음 대박대박,2026-05-29T16:41:50Z,326
@olaisnotme,"A song over 3 min, vocals, rap, bridge, every member verse, the mv, the visuals, the styles, the instrumentals, the harmonies, a full constructed  song, it's SOTY! and aespa can NEVER disappoint us!!!",2026-05-29T04:59:50Z,470
@yushiwishie,"all the part members are truly ICONIC, all of them even went viral on social media, sooo please stream harder guys :)",2026-06-01T14:51:35Z,103
@Bado.online,Thanks queens for our summer hit,2026-06-02T21:22:56Z,7
@YeriArrasadora,reveluv here supporting the leaders of the fourth generation !,2026-06-01T01:37:29Z,114
@Rukaboots_7,Aespa is allergic to bad music fr,2026-05-29T10:15:42Z,496
@FrankJohnGelera,I wanna see at least 100M for this masterpiece,2026-05-30T05:31:13Z,271
@Altrasonica,Aespa: hits after hits,2026-06-03T00:17:01Z,5
@aeri-h6h,THE INSTRUMENTALS ??? espacially pre chorus is INSANE,2026-05-29T07:35:35Z,218
@davidwong6682,This song will definitely chart very well. Great song.,2026-05-29T22:53:40Z,341
@aerichann-14,"Winter's rapping is really crazy. she does it well, especially her vocal line.",2026-05-29T07:12:05Z,785
@ChulbuliReshail,happy 23 million now 1 million more 💙💜,2026-06-02T16:34:34Z,13
@icantgowonwithoutchuu,"Can we talk about how no single title track ever sounds the same? AESPA always tries new things but still sounds so uniquely them. This is such a perfect cb, song, album, concept. I'LL MAKE YOU LEMONADE!! ✨🗣️🍋",2026-05-29T22:57:05Z,450
@256lemonade,Every member shined so much this era,2026-05-29T08:40:15Z,308
@ssshhh000,"의외로 에스파가 청량이 잘 맞음.
스파이시 위플레시 수퍼노바 그리고 레몬네이드
레몬네이드가 스파이시+위플레시 조합이라고 봄",2026-05-29T07:14:46Z,361
@ky9htk_,最近こればっかり聞いてる🍋,2026-06-02T15:54:07Z,5
@jessylrk1,That fact that all aespa members are all rapping in this song at different times is amazing it shows how unique that they are. Aespa have no skips.,2026-05-29T13:13:59Z,451
@boysenbeary,Everytime we get a rap from Winter it floors me 🔥,2026-05-29T13:51:18Z,142
@pauleen-j5o,WINTER RAPPING AND THE HIGH NOTE MAEMM PERIODD,2026-05-29T08:35:39Z,192
@eniar_78,Winter's rap is something I didn't know I needed. I LOVE IT.,2026-06-02T23:47:12Z,4
@ryuuvoxt9519,OMG THE SPANISH PARTTTT 😭😭 1:35 NINGNING THE MAKNAEE,2026-05-29T04:30:03Z,2273
@yours-namra,"WINTER DEFINETLY OWNED THIS
this song is so addictive",2026-05-29T05:51:01Z,358
@chemey_suagrush,best summer comeback fr,2026-05-29T09:38:22Z,446
@nicolostories,23m UNLOCKED!!! LET'S KEEP GOING Y'ALL,2026-06-02T16:57:22Z,13
@hyun14384,WINTERS RAP WAS WHAT I NEEDED,2026-05-29T05:10:03Z,231
@rathanasin399,"4 vocalists, 4 visuals, 4 dancers, 4 rappers, 4 all rounders, 4 aces, 4 members, 4 girls, 4 queens aespa never dissapoints!!!!",2026-05-29T07:31:38Z,94
@BeomE-ct7ch,뭔가에 이끌리듯 드라이브 플레이 리스트에 넣음… 비트가 딱 차안에서 틀기 최적화됨 ㅋㅋㅋ,2026-05-29T05:31:16Z,527
@Altrasonica,Keep streaming this masterpiece how much as you can guys!,2026-06-02T18:19:59Z,9
@ftrftr-n7m,"aespa make me lemonade, aespa is amazing group, lemonade is amazing song",2026-05-29T22:59:10Z,282
@fI0w3rr,The visuals? The vocals? Their outfits? The scenes? THE SONG?! Oh aespa will ALWAYS bring banger after banger.,2026-05-29T18:01:36Z,148
@edwardwillim9899,Aespa finally decided to go back to their old sound and locking in. Finally! I’ve missed the old Aespa,2026-05-29T13:17:35Z,118
@Innah.Daniel,""" I'LL TAKE  MY KARMA STRAIGHT ""💅👑",2026-06-02T07:33:09Z,8
@aerigeddon,"karina's vocals, giselle and winter's rap verses, ningning's spanish verse, the bridge hello??? oh aespa you will always be famous",2026-05-29T04:48:15Z,424
@YahyaAlfitna,Glad to see Giselle getting more lines.,2026-05-29T18:22:56Z,885
@Manjaboyyy,I could listen to this all day and not get tired of it,2026-05-29T22:40:32Z,259
@XiaomiPad-s3n,"We should reach 30m as soon as possible, MYs",2026-06-02T11:55:26Z,7
@narcissism0411,Thank you aespa for bringing kpop back to life,2026-05-29T04:09:08Z,126
@iqbaalramadhan4739,this is the best release this year! oh aespa you did it again,2026-05-30T00:54:53Z,193
@Aachalkhare09,"as expected, aespa came back to save kpop with their second full album lemonade. So harder than we all thought and no wonder cause its aespa. SONG OF THE YEAR.",2026-05-29T04:07:54Z,842
@johnzheng696,Keep Streaming guys omg this is the thier best comeback come on show it you love!!!!,2026-06-02T20:48:02Z,15
@1scz_naila,AESPA'S VOCAL IS ABSOLUTELY INSANE 😭,2026-05-29T04:05:41Z,242
@dianaarzumanyan4830,The outfits are so WOOWWWWWW,2026-05-29T08:25:10Z,181
@gojo01424,"Winter's rap verse and high notes got me hooked on this, song of the summer",2026-05-29T04:43:40Z,572
@nananovaofficial,Bridge part is so addictive,2026-06-03T06:24:50Z,2
@ryu.x_x,비트 진짜 미쳤나봐 내가 지금 걷는 길바닥이 런웨이가 됨.....; 충격적으로 좋다,2026-05-29T07:25:26Z,279
@저세상수학쟁이,노래 진짜 시원하다 이게 에스파식 청량이야...,2026-05-29T05:37:57Z,107
@Blackmoonsoulx,It's so fresh like a lemonade!,2026-05-30T00:29:18Z,247
@johnzheng696,Keep Streaming guys,2026-06-02T16:41:58Z,10
@MANGOMAN597,"THE FIRST VERSE IS SO FREAKING ADDICTIVE.
GIGI, KARI ANS WINTYS RAP WAS SO FIRE
OMGGG I LOVE THIS SONG SO FREAKING MUCH",2026-05-30T06:59:35Z,118
@Yourdailydoseofsarcasm,Winter rapping made my jaw drop so hard,2026-05-29T05:36:06Z,219
@isa6546,winters lines are genuinely life changing,2026-05-29T06:10:12Z,152
@유튜버박석한,레몬에이드에 쇠며들어버렸어요ㅜㅜㅜㅜ 하루종일 무한 반복재생중,2026-06-02T10:21:28Z,8
@ArielStar,"Song stuck in my head already, haha! Aespa making it lemonade! The MV is so cool.",2026-05-29T11:51:33Z,220
@S0ULA278,This comeback highlight is Giselle. Sm finally remembered that Aespa have a main rapper.,2026-05-29T08:57:07Z,554
@KishkaBluds,rap from winter is something i never expected in my life,2026-05-29T05:25:57Z,152
@모리222,"유투브뮤직, 애플뮤직, 스포티파이에서 음원순위 쭉쭉 올라가는중😊",2026-06-02T10:48:35Z,9
@meity5903,I Cant stop playing this song,2026-05-29T23:17:53Z,468
@Blackpink_go_2026,"These are the most beautiful K-pop idols of the 4th generation. Their visuals are no joke, and they really get better and better with each comeback",2026-05-29T10:23:15Z,197
@haramistone,정규는 정규다…. 비트 퀄리티부터가 다름 미쳤다,2026-05-29T05:37:52Z,318
@mamatcha4,ENGENE SUPPORT LEMONADE here,2026-06-02T11:32:58Z,7
@rednyz,"I love the way Ningning and Winter hitting that highnote, blessed my ear",2026-05-29T17:22:28Z,365
@Asl-kpoplife-777,Winters rap had me in heaven 😩,2026-05-29T05:25:12Z,181
@Rhaphidophile,"This is SPICY 2.0 for me, this is HUGE for me",2026-05-29T13:24:59Z,218
@yrrehc66,i watching it for 5 day now. 😭,2026-06-03T04:56:11Z,7
@MalaikaGrey-Brown,Song of the summer,2026-05-30T06:35:53Z,138
@syarifasyafiranisa3388,This is addictive song. I can't stop playing this,2026-05-29T16:40:50Z,302
@xyzxyzzzzzzzzz,Giselle getting so many lines??????WTF!!! Sm finally remembered aespa rappers,2026-05-29T12:08:35Z,732
@Rosa-i1w,Myss str3am the mv more and also spotify,2026-06-02T14:44:26Z,7
@Omiayth,How many intertional fans are here to support aespa forever?🤚🏻,2026-05-29T04:00:43Z,318
@Zceto._,Woah Winter's high note,2026-05-29T04:09:21Z,496
@AyaseEli_,Winter rap is so satisfying,2026-05-29T04:58:51Z,156
@johnzheng696,Keep Fighting guys we won’t stop because is lemon 🍋 lemonade!!!!,2026-06-02T20:32:00Z,6
@rruxxi,oh aespa you will be an icons FOREVER 🍋🍋,2026-05-29T07:25:37Z,104
@Sarah-vq8uh,"THIS IS SUCH A BANGER FOR A 4TH GEN GIRL GROUP
AESPA HAS CAME-BACK!!!!!!!!!!!!!",2026-05-30T00:35:47Z,148
@madfryhuh20,only aespa can make me hear kpop back,2026-05-30T07:05:32Z,184
@DimplesSalibay,Keep streaming guys,2026-06-02T15:33:04Z,7
@color_coded_lyrics,"TBH, THIS IS THEIR BEST MV BASED ON THE CONCEPT, VOCALS, RAP, AND EVERYTHING AFTER THEIR WHIPLASH ERA.",2026-05-29T04:32:00Z,91
@wonji_iu_wonyy,WINTER RAPPERRRRRRRR HER LINE IS FIRE,2026-05-29T04:49:28Z,315
@kevinsantos7166,winter eraa omgggg she's look sooo great omggg,2026-05-29T04:40:06Z,151
@AppleGreen-jf7we,LemonATE,2026-06-02T15:44:53Z,6
@CozynCaffeinated,"Wait hold up, stop is iconic already, I STAN AESPA LEMONADE 
All the girls ate, no notes 💛",2026-05-29T23:08:29Z,138
@oyooo3395,lemonade my second fav aespa song after whiplash,2026-05-30T17:54:55Z,172
@小昕77,"I hope these goes viral like insane. Even though they are already famous, they still deserve more recognition.",2026-05-29T06:31:45Z,243
@Mba_Din,Vote MY... let's make Aespa encore this banger on mushow,2026-06-02T10:13:10Z,5
@rednyz,Their vocals and rapp lines ATEEE,2026-05-29T16:36:30Z,165
@imanphu,The song is on the NEXT LEVEL,2026-05-29T04:04:29Z,90
@joojaekyung648,THE LEVEL OF AESPA IS AMAZING!!!,2026-05-29T04:10:36Z,249
@asfrudee,We badly need lemonade encore.. We missed wda encore😔,2026-06-02T17:03:37Z,4
@alleyking,I LOVE SO MUCH WINTER IN THIS ERA OMG ⭐!!!,2026-05-29T22:59:22Z,184
@gyatthaha_haha,GISELE AND WINTER'S ERA 🖐😫,2026-05-29T14:09:22Z,369
@ImTO12,"This actually one of their best songs and music videos 
Like we know the quality is always their when we talk abt aespa but this is just so expensive nd premium ✨️",2026-05-29T05:44:42Z,180
@saeun-sec5,"Aespa is in second place on Mnet, please get more votes! We have to give them the win.",2026-06-02T03:34:24Z,17
@난나-x3g,아 너무 좋아 에스파표 신맛 여름 곡으로 이번 여름 이겨내자,2026-05-29T04:13:33Z,150
@cloverr7,ningning and winter are changing lives in this song,2026-05-29T15:13:55Z,162
@vincentvin8528,Winter rapping is insaneeeee,2026-05-29T08:53:47Z,263
@Kitty_meovvz,Oh this is tea,2026-06-02T06:55:23Z,7
@Blondechae_eats_first,When life gave lemons to aespa they made us *LEMONADE*,2026-05-29T08:40:13Z,240
@araliya131,"WINTER'S RAP, HIGHNOTES AND PRETTY + HOT + HANDSOME VISUAL IN THIS MV??? THIS IS WINTER ERA",2026-05-29T07:45:36Z,207
@wintdolly,"winter's rap is INSANEEEE. like this girl can sing, dance, rap, what is something she can't do?",2026-05-29T06:59:58Z,149
@nananovaofficial,The beat is so pretty,2026-06-03T06:22:02Z,2
@I_amSzee,Their visuals are absolutely insane,2026-05-29T07:34:50Z,153
@SitiAisyahUmrah,"Ning Ning and Giselle really own this era, period",2026-05-29T10:02:36Z,285
@olaisnotme,"I can't wait for the full album reaction, it's the best work aespa have done!",2026-05-29T09:23:53Z,157
@nananovaofficial,Song's meaning: if you are gonna give me lemons(hate) I'll make it lemonade (I'll not take it as a challenge and make it to improve myself,2026-06-03T06:26:48Z,4
@littlejessica9668,Kpop is fun because of aespa,2026-05-30T15:09:47Z,191
@AUnfortunateEvents,1:33 NINGNING SAYING MUCHAS GRACIAS MI AMOR IS SO ADDICTIVE,2026-05-29T04:05:45Z,507
@AyekaMSP,This song is such a banger all their visuals are so stunning SOTY,2026-05-29T04:03:32Z,163
@marcojimenez7850,Ning Ning es la verdadera mi gente latino,2026-06-02T21:40:08Z,5
@p0pyp1,Supernova + whiplash coded!!! This is really aespaa😭🫶🏻,2026-05-29T05:12:48Z,174
@modanihanni,The perfect song for summer 🥹,2026-05-29T06:47:49Z,132
@BilegtDalxjav,Winter's rap insane,2026-05-29T04:04:32Z,465
@silvisilvi2752,let's go 30M mys keep streaming mys,2026-06-02T15:24:46Z,6
@oyooo3395,aespa will always be popular,2026-05-30T23:23:37Z,157
@vxrycn,KARINA’S VOICE IS SUCH A PERFECT FIT FOR THIS,2026-05-29T04:34:55Z,80
@gimoddip,첫 소절부터 '아.. 여름이구나..' 생각이 박힐 정도로 좋고 노래 자체가 되게 중독성 있음 (윈터누님 사랑해요),2026-05-30T07:32:26Z,133
@silvisilvi2752,yes naik lagi jadi no 2.keep streaming mys.lets go mys indo,2026-06-02T10:55:11Z,6
@aespicycore,the more you listen to this song the more addictive it becomes,2026-05-29T07:02:10Z,291
@littlejessica9668,Giselle's rap flow has sassy boss aura.,2026-05-31T15:35:58Z,109
@duaaoffical,Got me craving lemonade and an aespa concert at 1 am 😩🍋,2026-05-29T05:21:10Z,90
@johnzheng696,keep streaming guys come on,2026-06-02T20:05:24Z,5
@Fishofyourdream,2:52 Now this song will be playing nonstop in my room every day,2026-05-29T07:07:33Z,532
@Zksieiwiwks78,They all look sooo pretty,2026-05-29T11:25:56Z,116
@benitezpyofficial,"Aespa debut top 50 global 
Let's go mys close 20M and let's go to top20",2026-05-30T18:04:34Z,134
@Pengamatlembuthere,"Where are the MYs who said æspa is getting SOTY, ROTY, and AOTY in 2026??? 👀
Come on, where are you all??? The streaming isn't loud enough yet, and the voting needs to be WAY stronger!!! 😭🔥
Let's work harder for æspa and make those predictions come true! 💙✨",2026-06-02T13:49:31Z,67
@Hachanie,I'm obsessed with Winter's part,2026-05-29T04:17:29Z,385
@Seungberry_maxie143,Winter and Giselle owning this era,2026-05-29T04:06:44Z,436
@엡베벱뻬,아니 훅만 기억에 남는게 아니라 벌스랑 개개인 파트까지 개미침 소름돋네,2026-05-29T05:46:14Z,149
@w7x-f3i,本当に本当に本当にありがとうございます😭😭,2026-06-02T13:15:16Z,3
@kavifarias,"SONG 10/10
VOCALS 10/10
COREO 10/10
FACECARD 10/10",2026-05-29T04:05:20Z,343
@araliya131,"not Winter serving vocals, rap, visual and body tea in this comeback",2026-05-29T08:20:22Z,253
@이멍뭉-o2v,"몸이 반응한거면 끝났다 
이번 여름은 에스파인듯",2026-05-29T06:08:53Z,184
@miriam5328,Goooooo MY's 25M!!!!,2026-06-02T19:59:53Z,6
@enoidaotioudenoida,THIS BANGER DESERVES MORE VIEWS,2026-05-30T00:14:33Z,178
@Mutputriadr,The whole album is full of banger,2026-05-29T07:35:48Z,102
@vavawonyoung,this is so refreshing like a lemonade,2026-05-29T17:04:11Z,74
@IbtissamELBOULDA,"Midzyyy here to support aespa ❤❤❤
Lemonad ❤❤❤",2026-06-02T17:33:52Z,5
@Leesso-p8x,"Aespa queens, they bring colorful kpop, also they save they're own unique concept, thanks for that! They're gonna be trendsenders, go ahead! Song of the year",2026-05-29T04:02:07Z,267
@KQueenAespxrkles,The way winter said WELCOME BACK TO MY WORLD,2026-05-29T05:16:04Z,379
@하나-n3u6c,정규 진짜 맛도리... 미친거 아냐 도입부터 걍 모든 구간이 좋음 ㅜㅠ,2026-05-29T06:13:12Z,90
@dlskjj12,LEMONADE IS LIKE THE LOVE CHILD OF WHIPLASH AND SUPERNOVA,2026-06-02T05:05:17Z,5
@MelMelon-x2s,"This comeback screams WINTER! 🍋
STREAM LEMONADE! 🍋",2026-05-29T06:29:54Z,94
@z0cnzy,10M already. mys let's goo keep streaming,2026-05-29T23:07:18Z,286
@jvstrndomthingz,"Giselle has such a natural flow when she raps, it makes every verse sound addictive",2026-05-29T04:07:24Z,415
@yerakwon7431,almost 23 lets goo,2026-06-02T15:33:00Z,6
@studyw.thyu02,WINTER'S RAP PART AND GISELLE'S ONE ATTRACT MEEE,2026-05-30T02:35:24Z,262
@tsq1117,Winter rap and high note is kinda insane!!!!!!,2026-05-29T07:27:33Z,123
@DARKSTRINGS1,aespa debut with 2.5M streams on spotify marks the seconde kpop girl group ever after blackpink go with 3M congratulations aespa 💎,2026-05-30T14:19:31Z,121
@suellaex,AESPA DOES IT AGAIN,2026-06-02T21:19:57Z,4
@Jhon-q4i1l,aespa is serving,2026-05-29T18:35:17Z,126
@terryy4839,Aespa never make bad songs almost 6 years in industry.,2026-05-30T03:54:14Z,129
@madboy1076,Aespa is the BEST!! Really love the creative team who is behind this fantastic visual. Great work!!!,2026-05-30T05:46:52Z,76
@Ningtaoma,mys come on we can str3am more than this both youtube and Spotify,2026-06-03T00:17:15Z,5
@ReneBae-u5p,Never really commented on any Aespa video before but WOW!!!,2026-05-29T12:09:12Z,72
@김진-i6s,쇠콤달콤이라는 말이 맞다 되게 좋네,2026-05-29T05:41:28Z,121
@AnggieDA,This MV has the best cinematography out of all the MVs I've watched ever,2026-05-29T06:53:44Z,116
@saeun-sec5,Vote vote vote pls mys😢,2026-06-02T13:17:16Z,7
