Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,x3eqqoZPV_E,BABYMONSTER - '춤 (CHOOM)' M/V,BABYMONSTER,Music,2026-05-04T09:21:33Z,00:03:25,10666914,719043,54266
2,_859MXf3s4M,2026【惡靈古堡：爆發夜】前導預告 - 9月17日（週四） 從靈開始,Sony Pictures 索尼影業,Entertainment,2026-05-01T10:00:58Z,00:01:52,158496,2649,612
3,AEaKCUAr3e0,Relove DCG 春季總冠軍 ｜GCS 2026 春季準決暨冠軍賽－2026/05/02《Garena 傳說對決》,Garena 傳說對決,Gaming,2026-05-02T15:27:42Z,10:14:21,611160,2846,446
4,kRpaqR5sbf0,CORTIS (코르티스) 'TNT' Official MV,HYBE LABELS,Music,2026-05-04T08:58:06Z,00:03:04,2035366,374784,23644
5,EU0BkX3Sepw,【屍速列車】導演打造活屍電影超進化【屍速禁區】Colony 前導預告 2026.5.22(五) 全台大銀幕震撼上映｜全智賢 X 池昌旭 X 具教煥 X 申鉉彬  喪屍進化，全新物種誕生！,GaragePlay 車庫娛樂,Film & Animation,2026-04-29T05:43:04Z,00:01:06,85209,908,50
6,NTEh8MX3pHg,[中文] DNS vs BRO | HLE vs T1 | 2026 LCK,LCK-Carry,Gaming,2026-05-01T13:37:25Z,05:48:02,681782,2398,69
7,SCySL2FKuCc,Blue Lips,CORTIS - Topic,Music,2026-05-04T09:00:40Z,00:02:22,732521,77313,4117
8,gK3UrCKQg_I,【Sirenia海牛 】DCG VS FW 究竟是DCG能拿下隊伍第一冠?還是FW繼續連霸成為四冠王!,Sirenia海牛,Gaming,2026-05-02T15:13:34Z,09:39:45,189520,1247,8
9,-SEKt_0pdHM,NMIXX(엔믹스) “Crescendo” M/V,JYP Entertainment,Music,2026-04-28T09:00:01Z,00:02:46,2665272,219709,10994
10,8ml9PDdrG-0,我回到了1997年，一個充滿超自然事件的村子。爸媽居然留我一人在家！【Roblox 草莓郡 Mulberry County - 有感筆電】,有感筆電 Daptoper,Gaming,2026-05-01T10:00:20Z,00:33:07,291630,11716,778
11,5DXqEa-7-Wg,かぐや (cv. 夏吉ゆうこ) & 月見ヤチヨ (cv. 早見沙織) - ray 超かぐや姫！Version / THE FIRST TAKE,THE FIRST TAKE,Music,2026-05-01T13:00:06Z,00:05:56,2657305,193607,5264
12,F8G2inLdNw8,Minecraft 被突襲的村莊，用大量陷阱包圍防守會發生什麼事？,阿斯asu,Gaming,2026-05-03T09:00:15Z,00:21:12,107282,2853,102
13,mcJB9H0Nvbc,A-Lin《繞路 Detour》Official Music Video,A-Lin官方專屬頻道,Music,2026-04-29T12:01:33Z,00:04:53,1205944,5088,225
