Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,1jKnI_ib8c8,ITZY “Motto” M/V,JYP Entertainment,Music,2026-05-18T09:00:00Z,00:03:19,4216827,244857,22426
2,Vt7860xZFXk,HOPE - Official Teaser - In Theaters Fall 2026,NEON,Film & Animation,2026-05-18T01:00:31Z,00:01:39,1914552,61681,2694
3,Bso7klh06k4,[中文] GEN vs T1 | BFX vs NS | 2026 LCK,LCK-Carry,Gaming,2026-05-16T13:55:12Z,06:17:35,751331,3474,70
4,anPw_n26nOo,Motto,ITZY - Topic,Music,2026-04-22T02:01:10Z,00:03:13,319739,11223,362
5,cBvsXRZLkjE,《黑袍 5》大结局预告：死亡名单早就明牌了！,矛盾局,Film & Animation,2026-05-19T09:19:57Z,00:06:25,9428,152,24
6,029ZeMksz6o,媽媽 VS 女兒｜連勝第一名訓練老婆 (Rivals 競爭者),SlingshotBwai 中文頻道,Gaming,2026-05-18T11:37:28Z,00:16:28,144782,3249,1445
7,Njag_7QSamk,你沒等我去的舊金山 (Acoustic),派偉俊 - Topic,Music,2026-05-14T16:17:02Z,00:03:58,62678,462,0
8,HJ60xJ2UPQA,Backrooms後室最新預告片分析 ASYNC確認存在電影世界觀 Entity實體首次亮相預告片！【丁丁DingDing】,丁丁 DingDing,Gaming,2026-05-16T04:37:30Z,00:13:29,48339,1446,89
9,VpFjFoTUaT4,Minecraft 1萬格範圍，無法溝通『共享血量和背包』想辦法全員集合【方塊boy】,方塊boy,Gaming,2026-05-19T10:00:06Z,00:44:23,81232,4961,251
10,iTJSbJtS8MU,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,SMTOWN,Music,2026-05-11T09:00:56Z,00:03:09,14457533,493006,32130
11,DAvKXfFEBeo,【屍速列車】導演十年喪屍宇宙集大成【屍速禁區】終極預告 2026.5.22 全台戲院震撼上映,GaragePlay 車庫娛樂,Film & Animation,2026-05-19T09:08:30Z,00:00:39,6767,91,3
12,-W7MgYK6i0A,利用各種BUG來惡搞師傅SlingshotBwai ! 😂 我成功驚喜到他了!  Ft @SlingshotBwai中文頻道 / 競爭者【HacqR 游戲頻道】,HacqR 游戏频道,Gaming,2026-05-18T10:11:49Z,00:11:09,99771,2068,223
13,pB3W-k0kQ8U,TAEYANG - ‘LIVE FAST DIE SLOW’ M/V,THEBLACKLABEL,Music,2026-05-18T09:00:06Z,00:03:27,2227455,N/A,4307
14,OtkwjqaRH8A,"我成為了有99,999km/s超速度的英雄！但！我可以比子彈更快嗎?!【Roblox SuperFLASH - 有感筆電】",有感筆電 Daptoper,Gaming,2026-05-18T12:29:04Z,00:12:37,129552,5917,417
15,7QGRDC7ngpE,ZEROBASEONE (제로베이스원) 'TOP 5' MV,ZEROBASEONE,Entertainment,2026-05-17T15:00:00Z,00:02:32,7976012,133832,16414
16,nWIEsgXZ_tc,鍵盤逃脫成為最快的男人！熱門療愈遊戲！【+1 Speed Keyboard Escape】【Roblox】【機械方塊】,R子_第2頻道,Gaming,2026-05-19T10:14:12Z,00:15:34,81443,1583,138
17,Jxgbfc89hNI,아이오아이 (I.O.I) - 갑자기 (Suddenly) MV,Stone Music Entertainment,Music,2026-05-19T09:00:32Z,00:03:30,855577,91655,5380
18,_z-IN_cUQlM,【尊】你在狗叫什麼啦 ! ! ! ! ! !【第二頻道】,人生魯宅x尊-第2頻道,People & Blogs,2026-05-19T10:15:05Z,00:10:45,72062,3830,208
19,SQjRdv-gSts,星夜的離別+離情,Kai Xyelune - Topic,Music,2026-05-13T11:02:47Z,00:07:31,149647,517,0
20,eyUyIfTvTM8,【LCK】GEN vs T1 Chovy藍寶中路火烤Faker! 50分鐘血戰瘋狂拉扯高打高! BO3全場精華 | 2026 LCK,Cielo-聯盟精華,Gaming,2026-05-16T11:42:41Z,00:53:58,133617,1722,167
21,gMxAUI35O-g,glass,Gareth.T - Topic,Music,2026-05-19T10:00:48Z,00:03:06,53379,7457,258
22,uU-qsW1kJKo,2026 荒野亂鬥全球錦標賽 | Brawl Cup Day3,盛主播,Gaming,2026-05-17T16:53:19Z,05:54:49,179434,1327,13
23,K2xgiais0U4,派偉俊 Patrick Brasca & 陳華 Hua Chen - 你沒等我去的舊金山（Acoustic）,派偉俊 Patrick Brasca,Music,2026-05-15T12:00:06Z,00:03:58,140237,3411,81
