Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,U6BDbXIah-Y,CORTIS (코르티스) 'REDRED' Official MV,HYBE LABELS,Music,2026-04-20T08:58:06Z,00:03:29,3311602,570387,49441
2,vR-RQWBeraY,【快打旋風】精彩預告 - 10月16日 全台戲院見,派拉蒙影片 官方頻道,Film & Animation,2026-04-16T13:29:55Z,00:02:48,140899,2221,859
3,dJdF07sMzsc,[中文] BRO vs NS | KRX vs T1 | 2026 LCK,LCK-Carry,Gaming,2026-04-19T13:36:39Z,05:40:08,437857,1427,25
4,P-v1Eyuo2Vo,DONGHAE ‘해 떴네’ MV,SUPER JUNIOR-D&E,Entertainment,2026-04-20T09:00:36Z,00:03:12,179366,18139,2013
5,W81WINzjUms,血腥暴力值MAX！《#制裁者：最後一擊》正式預告 | Disney+ 5月13日 獨家上線,MarvelTW,Film & Animation,2026-04-20T08:22:53Z,00:01:41,27159,609,73
6,emgRQ2FlD2Y,我去參加了令人毛骨悚然的睡衣派對…【Roblox 機械方塊】,Yuan2020,Gaming,2026-04-19T01:30:41Z,00:15:39,238214,5646,119
7,-KIrlLYTh2w,陪你到這,陳華 - Topic,Music,2026-04-16T10:02:03Z,00:03:53,172461,1953,64
8,AMMcOOUU6b8,GCS 2026 春季季後賽D1－2026/04/18《Garena 傳說對決》,Garena 傳說對決,Gaming,2026-04-18T13:39:49Z,04:41:06,271653,1439,109
9,5sOgJQ3N03Q,REDRED,CORTIS - Topic,Music,2026-04-20T09:00:18Z,00:02:44,555881,61727,3833
10,QAsKeVZC15k,Minecraft 利用『創造模式解謎』的世界是什麼神奇東西，做什麼才能通關？,阿斯asu,Gaming,2026-04-20T09:00:29Z,00:23:04,87086,2382,60
11,0xlmPglHEqQ,张远 - 嘉宾『至少我还能够成为那个 见证你们爱情的嘉宾；遇见你的他真的好幸运 但愿他会比我更爱你』【动态歌词MV/Lyrics】,Romance Season,People & Blogs,2026-04-17T09:00:05Z,00:05:34,58970,53,2
12,J76cbqMgGj4,Minecraft 最新版本超可愛的特殊動物寶寶全部抓到為止的生存！【方塊boy】ver.26.1,方塊boy,Gaming,2026-04-17T09:00:07Z,01:13:20,193674,6521,393
13,1o5O2YvV3HU,NCT WISH 엔시티 위시 'Ode to Love' MV,SMTOWN,Music,2026-04-20T08:59:07Z,00:03:21,2532712,83607,6639
14,_wez0DYa7t4,柴犬妮塔造型竟然重做了！攻擊特效打出小柴犬！里昂、茲奇、皮爾斯大幅下修！娜吉亞攻擊不會再追蹤草叢裡的人！我的英雄學院聯名造型好好看！【荒野亂鬥】,盛主播,Gaming,2026-04-19T15:00:20Z,00:27:00,93363,1796,280
15,OeEl04MHVSI,你相信光嗎?-勝投怪盜正在上場 #富邦悍將 #後藤光尊 #玄學 #新莊城堡 #勝投怪盜 #張奕 #fubonguardians #出場曲,台南戴音樂DaiMusic,Music,2026-04-16T15:05:49Z,00:03:50,50869,2324,390
16,p_tvFJ0Yk3U,【Stanley】全輸出100%爆超級痛蓋倫閃現一轉三！團戰選擇不放大絕的思路分析？史丹利終於認可了自家上路？選正確的角色做正確的事！上路躺著就會贏！中路才是最適合ＢＤ的一條路！明天就是前往大師之路！,Stanley 史丹利,Gaming,2026-04-20T09:30:33Z,00:10:36,82863,1433,53
17,78wrful9cVU,Olivia Rodrigo - drop dead (Official Music Video),OliviaRodrigoVEVO,Music,2026-04-17T04:00:06Z,00:04:11,14847385,745659,38870
18,5iFT15Wpc_0,(FW NaiLiu) 4/19 來看 ANK VS BMG 台中大谷翔平來銳平一下,FW NaiLiu,Gaming,2026-04-19T13:00:24Z,03:17:13,78109,880,5
19,vtwmfiivxq4,DIOR大穎 - 靠關係 MUTUAL FRIENDS - (Official MV),DIOR大穎,Music,2026-04-14T12:00:06Z,00:04:31,642490,7237,242
20,x4dq13VJW9c,【尊】我跟放火.錫蘭再次挑戰兩小時內通關麥塊 ! ? 放火 : 失敗我捐15萬 ! !【第二頻道】,人生魯宅x尊-第2頻道,People & Blogs,2026-04-16T10:32:17Z,00:17:47,283655,10045,384
21,MRLqFDpJXk4,許富凱 Fu Kai Hsu〈愛你敢有望 Any Chance for Love?〉feat. icyball 冰球樂團 Official Music Video,許富凱官方專屬頻道 Henry Hsu Offical Channel,Music,2026-04-17T04:00:04Z,00:04:31,162531,3196,158
22,7B0-WJ5QYsc,Brawl Talk: 3 NEW Brawlers!,Brawl Stars,Gaming,2026-04-18T15:00:06Z,00:11:06,13186972,567568,41763
23,1SgjpTe-WqI,美丽的神话 · 美丽的,United idol - Topic,Music,2026-04-18T23:27:18Z,00:05:54,25557,227,0
24,Nl-hF6BYVqc,Minecraft速通，但如果我們失敗，放火就要捐15萬！（我要復仇）,錫蘭Ceylan,Comedy,2026-04-16T10:00:00Z,00:28:42,263099,10657,406
25,nb_JGAl6lVw,favorite,ØZI - Topic,Music,2026-04-18T10:01:39Z,00:02:30,19792,494,15
26,Jh_i6J8Z53g,【偷走腦腐】在殺手關卡中生存以獲得獎品腦腐！薩米的挑戰書！【非官方】【Steal a Brainrot】【Roblox】【機械方塊】,R子_第2頻道,Gaming,2026-04-18T10:45:45Z,00:16:32,116506,1538,158
27,n-sIvDbeGb0,PLAVE 'Born Savage' M/V (Performance Ver.),PLAVE 플레이브,Entertainment,2026-04-20T11:00:04Z,00:03:06,152924,30688,3806
28,tXjDtADnHbU,【館長直播完整版】2026/04/20/週一   PRAGMATA  商業總會今天表現出來就是全民問題 民進黨掩蓋的事實 ~ 刈包明天中午開賣 歡迎大家試吃保證好吃~~,館長惡名昭彰,Gaming,2026-04-20T16:18:38Z,04:07:54,72773,3499,177
29,MmcVqcWoR6w,FEniX 《木偶人·晝 Puppet of Dawn 》Official Music Video (節目《百分之一相對論 The Theory of One Percent》單元主題曲),FEniX,Music,2026-04-17T12:00:06Z,00:04:14,206742,1697,256
30,sYQ1LIgJA1E,傳說對決 |這就是若依夜叉！帶線最霸道的組合直接一舉拿下金牌大跳兩顆星🥵| Sirenia 海牛 |夜叉,Sirenia海牛,Gaming,2026-04-20T10:51:04Z,00:09:43,41224,813,30
31,iLF0ZNdhNM0,Justin Bieber - YUKON (Live From The 68th Grammy Awards / 2026),JustinBieberVEVO,Music,2026-04-16T22:39:31Z,00:05:09,1825257,67275,2776
32,bG0nhCw5VSM,【DinTer】天堂經典 lv45衝暈騎 來看看有沒有大場面 今晚測試堅固防禦!!三重+尖刺準備開獎 4/20,Dinter,Gaming,2026-04-20T16:32:05Z,04:37:59,55287,353,22
33,XAhKFiPqGRQ,Jay Chou 周杰倫【Country Road 鄉間的路】Official Music Video,周杰倫 Jay Chou,Music,2026-04-13T04:00:05Z,00:03:33,2198730,11916,1194
34,_M-KHAm1r1U,【Sailor Piece】一口氣解完二海更新！全覺宇宙餓狼，芙莉蓮，DIO，遐蝶！ 【水手寶石】【機械方塊】,R子,Gaming,2026-04-20T09:27:53Z,00:23:56,68733,1739,205
35,RcoUAnXr_po,TOO LATE,DONGHAE - Topic,Music,2026-04-20T09:04:49Z,00:03:37,13174,746,0
36,gX7od9-xOOM,《崩坏：星穹铁道》银狼LV.999角色PV——「我独自满级」,崩壞: 星穹鐵道,Gaming,2026-04-19T04:00:00Z,00:02:56,103794,5871,496
37,3sKKVJ_jfAs,Behind The Shine,RIIZE - Topic,Music,2026-04-18T09:02:01Z,00:03:15,270032,10373,606
38,EDle8VXl-0M,尼克星｜跟正妹女實況主苡露雙排…我真的忍不住了｜傳說對決｜,尼克星拳擊,Gaming,2026-04-20T09:00:30Z,00:15:56,44149,678,105
39,1BRDK2mMI98,Ode to Love,NCT WISH - Topic,Music,2026-04-20T09:00:03Z,00:03:11,271523,6059,181
40,N2JXw2DaIPQ,这老年人！Faker卡沙把多少人看懵了？一次不死极限秀反杀，这就是飞神吗？,呆梦demo官方频道,Gaming,2026-04-20T00:39:09Z,00:10:23,84319,996,155
41,VHh1VAFNPGY,平凡的日子借一点光,刘宇宁 - Topic,Music,2026-04-19T13:38:28Z,00:03:53,18106,454,23
42,iyTmPKqeRew,我抽到隨機最強武器整場暴走！,小妞,Gaming,2026-04-18T09:01:04Z,00:12:21,62416,1895,52
43,pD3WH15qTgc,하루에 하루만 더 (Stick With You),TOMORROW X TOGETHER - Topic,Music,2026-04-13T09:00:00Z,00:02:34,2271249,48641,1004
