Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,83C3TZ4Zm_o,aespa 에스파 'LEMONADE' MV,SMTOWN,Music,2026-05-29T04:00:16Z,00:03:12,17444311,612940,35150
2,HLMX2w3cwuE,God of War Laufey - Gameplay Reveal Trailer | PS5 Games,PlayStation,Gaming,2026-06-02T22:15:01Z,00:23:45,4488852,305223,22381
3,1JXLkrwOiTU,【傳說超神盃】6/2 星星幫傳說戰隊 vs 珉天還要贏 BO3｜大家都說我們會墊底…今天正式開打,尼克星拳擊,Entertainment,2026-06-02T16:28:22Z,04:04:55,178045,1300,238
4,LBhcqYqeu0U,LEMONADE,aespa - Topic,Music,2026-05-29T04:02:48Z,00:03:07,3752141,61301,1094
5,tKwH3pNFEbo,【超少女】終極預告，6月24日（週三）大銀幕鉅獻,華納兄弟台灣,Film & Animation,2026-06-03T16:05:08Z,00:02:11,28457,668,219
6,CfhAVYWC5Xs,【Sirenia海牛】傳說超神盃 六取四循環賽 DAY1,Sirenia海牛,Gaming,2026-06-02T14:11:27Z,03:01:30,168828,1330,30
7,aHM2RKeMaeM,MEOVV(미야오) - ‘DDI RO RI’ M/V,THEBLACKLABEL,Music,2026-06-01T09:47:30Z,00:03:20,6329784,N/A,12418
8,ObbfjEJC17c,【搶銀行先修班】官方預告 - 9月4日（週五）先搶先贏,Sony Pictures 索尼影業,Entertainment,2026-06-02T13:00:10Z,00:02:06,31271,608,65
9,YSGX6Kvo2Ws,(FW NaiLiu) 6/3 星星幫 go,FW NaiLiu,Gaming,2026-06-03T18:13:31Z,03:17:01,80192,745,50
10,o_0OJlOwDWs,A Little Longer,韦礼安 - Topic,Music,2026-06-01T10:00:13Z,00:04:07,48175,596,16
11,l0hD3KBwoiA,"No Peace Amongst the Stars | Warhammer 40,000 Official Cinematic Trailer","Warhammer 40,000",Gaming,2026-05-31T15:54:36Z,00:03:44,3437563,190760,8987
12,4ZRhHYWMlJo,ROBLOX 超紓壓跑酷塔！,Yuan2020,Gaming,2026-06-01T12:40:18Z,00:12:45,225928,6488,262
13,82-jTNka3uc,Ariana Grande - hate that i made you love me,ArianaGrandeVevo,Music,2026-06-01T15:00:06Z,00:05:01,8681759,728004,35673
14,Gr1-6VJPCic,Minecraft 基岩中的鬼抓人！破壞基岩後想辦法抓住逃跑者vs活下去逃到最後【方塊boy】,方塊boy,Gaming,2026-05-31T10:00:06Z,00:37:56,248223,7781,283
15,SlQR9iu09bQ,SON TUNG M-TP x TYGA | COME MY WAY | OFFICIAL MUSIC VIDEO,Sơn Tùng M-TP Official,Music,2026-05-28T13:00:06Z,00:04:18,25027437,1217761,170363
16,lB_Y6Nn08O0,我可以在殭屍競技場存活下來嗎?! 玩到第200天，殭屍已經佔滿整張地圖了😭 (但我買了超OP的武器)【Roblox Survive Zombie Arena - 有感筆電】,有感筆電 Daptoper,Gaming,2026-06-01T11:30:43Z,00:12:29,236375,6746,1028
17,QERKD90hG98,TREASURE - ‘IF I’ M/V,TREASURE (트레저),Entertainment,2026-06-01T09:00:03Z,00:03:08,12714398,319566,80875
18,pRuLh6izD-E,【傳說對決】實況主盃首戰就對上尼克星 把阿星打到崩潰大叫！電話意外GANK 前期風向直接起飛 中期差點被逆轉 完全不能放水【小珉】,MING小珉 中路教科書,Gaming,2026-06-03T09:24:06Z,00:09:40,71046,1205,73
19,Vfryu4DeWrc,還是會想念,BK - Topic,Music,2026-05-28T16:00:37Z,00:04:04,210645,2294,135
20,H9LW563ALqw,【Stanley】822AP疊書25層鬼王登場！搭配新鞋子一口吸了2272HP！打野瘋狂送中路頭！中路照樣被我單殺！後期主堡前一挑二秀肌肉！原地站著和歐拉夫單挑！歐拉夫還敢吸血阿我才是真正的吸血鬼好嗎,Stanley 史丹利,Gaming,2026-06-03T09:30:08Z,00:10:06,82513,1502,49
21,hOIY3OhvD94,CORTIS (코르티스) 'Blue Lips' Official MV,HYBE LABELS,Music,2026-05-30T14:58:06Z,00:02:50,2797965,400844,24065
