Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,V1Lr-_AxeR8,LE SSERAFIM (르세라핌) 'BOOMPALA' OFFICIAL MV,HYBE LABELS,Music,2026-05-22T03:58:06Z,00:03:29,5479810,321138,19275
2,sosJyyjUL6I,「名偵探柯南 高速公路的墮天使」中文電影預告,Anime & Movie 普威爾,Film & Animation,2026-05-21T07:24:58Z,00:01:58,79203,1966,112
3,vGU-A9YJXUk,[中文] DK vs BFX | NS vs HLE | 2026 LCK,LCK-Carry,Gaming,2026-05-23T14:06:13Z,06:35:38,454850,1160,17
4,gMxAUI35O-g,glass,Gareth.T - Topic,Music,2026-05-19T10:00:48Z,00:03:06,799564,19243,307
5,HI1dhd2ATdM,【太空超人】終極版預告 - 6月3日（週三）宇宙同行,Sony Pictures 索尼影業,Entertainment,2026-05-21T04:00:09Z,00:01:58,70143,709,166
6,4iKnoV_pQgU,【有感筆電】Roblox版的貓咪大戰爭！放可愛的noob菜鳥士兵去打城堡！ 我花多少R幣，可以抽到超稀有的角色??【戰鬥磚塊 The Battle Bricks】,有感筆電 Daptoper,Gaming,2026-05-22T11:30:30Z,00:20:07,265175,8530,902
7,tkwD6DLp62k,玖壹壹(Nine one one) 洋蔥 Onion - 我甘願重新愛過 Feat.狗柏 官方MV首播,玖壹壹,Music,2026-05-20T09:20:06Z,00:04:26,212383,6227,307
8,N_gdlK4I3Bg,Btth Trailer 202 | Btth New Preview | Btth Latest Trailer 202 | 斗破苍穹201 | Btth Terbaru 202Spoiler,Heaven yard Exp,Film & Animation,2026-05-23T10:03:16Z,00:00:34,46592,863,14
9,uqJb0TnBzIQ,[中文] MVK vs CFO | LCP 2026 Split 2 Knockout Stage Week 1 Day 1,LoLEsportsTW ,Gaming,2026-05-23T14:12:34Z,05:37:20,111984,311,10
10,PJyFND4-zR4,Jay Chou 周杰倫【Aurora in July 七月的極光】Official Music Video,周杰倫 Jay Chou,Music,2026-05-20T04:00:04Z,00:03:10,2035396,11046,993
11,-obL3GkCo8Q,APL 2026 外卡賽D3－2026/05/23《Garena傳說對決》,Garena 傳說對決,Gaming,2026-05-23T13:32:13Z,05:40:26,125213,509,21
12,1jKnI_ib8c8,ITZY “Motto” M/V,JYP Entertainment,Music,2026-05-18T09:00:00Z,00:03:19,8277659,293469,28799
13,LRtBJgMEFCM,這女玩家爆料了機長黃瓜的瓜 （超級勁爆）/ Roblox 競爭者 【HacqR游戲頻道】,HacqR 游戏频道,Gaming,2026-05-23T12:28:55Z,00:19:00,80712,3783,1959
14,GeLTLpaxGkA,理想混蛋 Bestards【總有一工 tsóng ū tsi̍t kang】Official Music Video,理想混蛋 Bestards,Music,2026-05-20T12:00:06Z,00:04:22,402234,4924,169
15,Vx7eiycSDpk,【DE JuN】我買新車了！！！（絕對不是forza horizon 6）地平線６,DE JuN,Entertainment,2026-05-22T06:36:50Z,00:22:48,223105,4984,206
16,Gy32XOFT2ww,BOOMPALA,LE SSERAFIM - Topic,Music,2026-05-22T04:00:12Z,00:02:57,691442,29654,855
17,jkVLywg-Q_Q,星星幫傳說戰隊 最終徵選決戰!!  40萬,尼克星拳擊,Entertainment,2026-05-23T17:05:51Z,03:23:22,51272,538,40
18,sj_ihME1l2E,"菲道尔 Firdhaus - 你好, 就足矣 (Official Music Video)",菲道尔 Firdhaus,Music,2026-05-20T12:00:06Z,00:05:36,175623,4529,255
19,QL4atmffBYQ,成為閃電獲得最強腦腐！一口氣跑到終點！【Be Flash For Brainrots!】【機械方塊】,R子_第2頻道,Gaming,2026-05-22T10:12:16Z,00:16:11,96665,1338,109
20,Jxgbfc89hNI,아이오아이 (I.O.I) - 갑자기 (Suddenly) MV,Stone Music Entertainment,Music,2026-05-19T09:00:32Z,00:03:30,2849143,196136,9291
21,Updmb7wKNIQ,我被討厭了。朋友都離開...我是怎麼變成這樣的（對不起）,阿神,Gaming,2026-05-22T09:58:35Z,00:34:20,129501,5216,204
22,XiRv3heIaXo,字字句句 (R&B),Lune音 - Topic,Music,2026-05-17T00:56:33Z,00:03:44,40830,63,0
23,QIKeGbd6qhY,血鬼..凱特蜜娜全選了一遍！每把DPS都打最高，根本是刺客教科書！今年的Angelboy的操作值得拿一座MVP冠軍！【荒野亂鬥】,盛主播,Gaming,2026-05-23T03:47:48Z,00:17:37,79117,1403,71
24,anPw_n26nOo,Motto,ITZY - Topic,Music,2026-04-22T02:01:10Z,00:03:13,899766,18147,450
25,IpnUx4SGSH4,我禁止在縮小躲貓貓裡被抓到！,小妞,Gaming,2026-05-23T09:00:19Z,00:12:01,38624,2234,66
26,B402rKl4bUg,Olivia Rodrigo - the cure (Official Music Video),OliviaRodrigoVEVO,Music,2026-05-22T04:00:06Z,00:05:15,5152869,482676,21838
27,kCSGMvewf_w,【Sirenia海牛】本號巔峰開扁,Sirenia海牛,Gaming,2026-05-23T16:53:31Z,06:15:49,57111,519,8
28,xLAPpTflZmk,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' Performance Video,aespa,Music,2026-05-23T09:00:03Z,00:02:38,437775,47244,1296
29,BRdSxVXS7Jk,【Stanley】頂級小粉紅提摩AD登場！慘遭輔助直接放生害我變孤兒AD！9分鐘39刀輸兩等還能單殺對面ＡＤ！毒箭配電刀又電又毒誰扛得住？好不容易疊書滿層要起飛了，對面是在哭是不是啊！？,Stanley 史丹利,Gaming,2026-05-23T09:30:03Z,00:10:15,76616,1873,144
30,mnmjYN3ZBDk,鈕扣 (feat. 王泰翔 2000wtx),INHON - Topic,Music,2026-05-21T10:02:52Z,00:03:18,21837,414,10
31,VpFjFoTUaT4,Minecraft 1萬格範圍，無法溝通『共享血量和背包』想辦法全員集合【方塊boy】,方塊boy,Gaming,2026-05-19T10:00:06Z,00:44:23,249966,9652,394
32,vz0G2xepJws,PIZZALI【每天情人節】Official Lyrics Video,PIZZALI,Music,2026-05-20T05:14:06Z,00:03:10,50714,2849,2095
33,cCKQeye8WYg,【館長直播完整版】2026/05/22/週五 賽車車~ 台灣人看清楚甚麼叫貪污~~要吵架來別老是拿我去弄民眾黨,館長惡名昭彰,Gaming,2026-05-22T16:22:55Z,04:10:36,105070,4586,333
34,XjrgISh9Qv0,想見你想見你想見你 (Miss You 3000) Covered by IVE LEESEO,IVE,Entertainment,2026-05-18T10:00:22Z,00:04:04,388173,36553,2098
