Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,iTJSbJtS8MU,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,SMTOWN,Music,2026-05-11T09:00:56Z,00:03:09,13702698,476913,31330
2,HJ60xJ2UPQA,Backrooms後室最新預告片分析 ASYNC確認存在電影世界觀 Entity實體首次亮相預告片！【丁丁DingDing】,丁丁 DingDing,Gaming,2026-05-16T04:37:30Z,00:13:29,35556,1186,77
3,Bso7klh06k4,[中文] GEN vs T1 | BFX vs NS | 2026 LCK,LCK-Carry,Gaming,2026-05-16T13:55:12Z,06:17:35,736757,3424,64
4,6Ycn9qZK09I,NMIXX(엔믹스) “Heavy Serenade” M/V,JYP Entertainment,Music,2026-05-11T09:00:04Z,00:03:32,28615882,213782,16243
5,9rPBmHoxQX4,[Official Trailer] Ticket to Heaven เด็กชายไม่ไปสวรรค์ #TicketToHeaven,GMMTV OFFICIAL​​,Entertainment,2026-05-17T09:00:22Z,00:03:45,545498,85749,5784
6,i9-82s_Le88,挑戰在大型超市24小時生存！千萬不能被警衛抓到！【Roblox Survive Overnight in a Mega Store 全破關 - 有感筆電】,有感筆電 Daptoper,Gaming,2026-05-15T12:51:08Z,00:17:31,344773,7557,832
7,hGqYdubpcCM,Heavy Serenade,NMIXX - Topic,Music,2026-04-23T05:58:50Z,00:03:00,3081498,37857,629
8,-IPy0qiyh-4,《氣體人第一號》| 正式前導預告 | Netflix,Netflix Taiwan,Entertainment,2026-05-12T23:00:00Z,00:01:25,152909,1677,245
9,uU-qsW1kJKo,2026 荒野亂鬥全球錦標賽 | Brawl Cup Day3,盛主播,Gaming,2026-05-17T16:53:19Z,05:54:49,170977,1279,8
10,SQjRdv-gSts,星夜的離別+離情,Kai Xyelune - Topic,Music,2026-05-13T11:02:47Z,00:07:31,88685,359,0
11,eyUyIfTvTM8,【LCK】GEN vs T1 Chovy藍寶中路火烤Faker! 50分鐘血戰瘋狂拉扯高打高! BO3全場精華 | 2026 LCK,Cielo-聯盟精華,Gaming,2026-05-16T11:42:41Z,00:53:58,119993,1614,162
12,K2xgiais0U4,派偉俊 Patrick Brasca & 陳華 Hua Chen - 你沒等我去的舊金山（Acoustic）,派偉俊 Patrick Brasca,Music,2026-05-15T12:00:06Z,00:03:58,81821,2722,69
13,_-ETg1nsR6c,我課金花了超多R幣...結果抽到了史萊姆之神！？【Roblox 機械方塊】,Yuan2020,Gaming,2026-05-16T02:00:34Z,00:08:46,170096,6452,123
14,ZAsxW7bkK-A,WDA (Whole Different Animal) (feat. G-DRAGON),aespa - Topic,Music,2026-05-11T09:00:46Z,00:02:54,3518290,50427,1413
15,b7BgovJ4qZ8,五人全拉满！T1战胜GEN把多少人看懵了？Faker与Oner绝境出击，这比赛看得人热血沸腾,呆梦demo官方频道,Gaming,2026-05-16T22:57:23Z,00:19:14,126714,2390,262
16,kJFf9WQLyik,林俊杰 - 爱笑的眼睛『再见爱情我一定让自己 让自己坚定；再见到你我一定让自己 假装很坚定』【动态歌词MV/Lyrics】,Romance Season,People & Blogs,2026-05-11T09:01:04Z,00:04:14,57917,39,1
17,umIkPYyDYc8,我在踢飛幸運方塊開外掛！直接獲得超強腦腐！【Kick a Lucky Block】【Roblox】【機械方塊】,R子_第2頻道,Gaming,2026-05-16T10:13:32Z,00:14:13,140256,3005,87
18,Njag_7QSamk,你沒等我去的舊金山 (Acoustic),派偉俊 - Topic,Music,2026-05-14T16:17:02Z,00:03:58,18095,227,0
19,Ws1bM_MdjUE,2026 傳說女神盃 準決暨冠軍賽－ 2026/05/16《Garena 傳說對決》,Garena 傳說對決,Gaming,2026-05-16T10:26:59Z,08:24:32,156530,757,99
20,uzVdsZbYibQ,周深 ZHOU SHEN ╳ MAYDAY 五月天 [ 如煙 Like Smoke ] 5525+2版 Official Stage Video,相信音樂BinMusic,Music,2026-05-10T13:25:16Z,00:05:42,1662129,12354,1024
21,3JFQzArd0OA,[中文] DFM vs TSW | GAM vs CFO | LCP 2026 Split 2 Regular Season Week 7 Day 2,LoLEsportsTW ,Gaming,2026-05-17T15:16:03Z,06:37:55,87752,290,4
22,HTTQVgGc1sY,And Now,JINYOUNG - Topic,Music,2026-05-13T09:02:23Z,00:01:08,294931,1843,70
23,EzanAEs6voc,我送顏色躲貓貓活到最後玩家1000元！,小妞,Gaming,2026-05-16T09:00:17Z,00:26:35,52205,2358,111
24,nCElUD0jvgo,CORTIS (코르티스) 'ACAI' Official MV,HYBE LABELS,Music,2026-05-11T11:58:06Z,00:03:11,4453320,455825,19790
25,Ng2yHhPLDjg,Minecraft 座標一千多萬，11年前地形Bug『Farlands邊境』弄到新版本中生存挑戰直到通關,阿斯asu,Gaming,2026-05-15T09:00:29Z,00:18:34,122850,3587,162
26,7QGRDC7ngpE,ZEROBASEONE (제로베이스원) 'TOP 5' MV,ZEROBASEONE,Entertainment,2026-05-17T15:00:00Z,00:02:32,1162886,71446,10203
27,WBZHj01_4ao,【DE JuN】一段永生難忘的夜班經驗。Gas Station Case,DE JuN,Gaming,2026-05-16T06:07:31Z,00:15:09,93246,3106,104
28,laOwIwY_dWg,かぐや (cv. 夏吉ゆうこ) & 月見ヤチヨ (cv. 早見沙織) - ワールドイズマイン CPK! Remix / THE FIRST TAKE,THE FIRST TAKE,Music,2026-05-13T13:00:07Z,00:04:57,1538464,105120,2728
29,Z6w7YkZpyc8,【館長直播完整版】2026/05/017/週日 @_@繼續玩冰火~ 青鳥崩潰 清德解釋 台獨就是坨大便 不愛台灣就滾出去 誰不愛啊幹,館長惡名昭彰,Gaming,2026-05-17T16:19:00Z,04:11:33,112676,5009,305
30,_xugPJxmEGE,icyball 冰球樂團 - 說愛我吧 (Official Video),icyball 冰球樂團,Music,2026-05-16T12:00:27Z,00:04:38,42712,2103,71
31,dSaQhA11oT0,【Stanley】AD卡牌打野飛到快中風！鬼索海妖12殺整場支援還是救不了憨鵝隊友！才剛選角就被隊友瘋狂嘴砲，結果嘴最兇的中路果然最雷！？心態穩定之人才玩得了的伺服器..,Stanley 史丹利,Gaming,2026-05-17T09:30:28Z,00:10:03,67300,1266,83
32,adE8jVLoLPo,ピノキオピー - 歌姫失格 feat. 初音ミク / Rejected Diva,ピノキオピー PINOCCHIOP OFFICIAL CHANNEL,Music,2026-05-15T10:00:06Z,00:03:22,1066602,97369,4221
33,FShy5RnQUKg,海洋中更有壓迫力的巨物利維坦出現了〖Subnautica2：異星水域〗,森纳映画,Gaming,2026-05-16T09:00:09Z,00:19:29,111833,3779,129
34,aQR7w7uU6Vk,郭家瑋 Trevor【那片海灘 Back to That Beach】Official Visualizer,郭家瑋 Trevor,Music,2026-04-20T16:00:02Z,00:03:42,114079,1633,84
35,wEIYqrwNZfA,GEN vs T1 Peyz17分鐘領先3.6k打崩尺帝！GEN落後一萬經濟奇蹟團1換5！丨Game3丨2026 LCK Round 2,NLF賽事精華,Gaming,2026-05-16T11:08:30Z,00:11:49,32088,189,16
36,_0_NnIoKsts,鄭馥儀〈不是朋友的朋友 The Unfriend Zone〉Official Music Video,鄭馥儀,Music,2026-05-15T10:00:53Z,00:04:11,24520,785,64
37,8L5zAkqVq3Y,【Blox Fruits】四海要來了嗎！磁鐵果實預定！整理所有更新洩露 【Roblox 海賊王】【機械方塊】,R子,Gaming,2026-05-17T10:23:36Z,00:09:38,75720,2204,170
38,kETJch5mIuM,Stay with me (氛围beat),PPR - Topic,Music,2026-04-18T10:02:55Z,00:01:31,90044,1851,0
39,Nwd1tIWyxpk,【尊】我玩了一款史上抽象的「躲兵役遊戲」 ! ? 再怎麼逃還是要被抓去當兵的...【第二頻道】,人生魯宅x尊-第2頻道,People & Blogs,2026-05-14T10:00:29Z,00:12:21,160416,4622,193
40,gVfT_J9faeQ,Fate Line,Wooseok Byeon - Topic,Music,2026-05-15T09:02:57Z,00:03:38,245596,9196,0
41,CymkYHDmsLs,傳說對決 |這就是大招改強的龍馬嗎?大招直接醫學奇蹟回一管大的完全OP!| Sirenia 海牛 |龍馬,Sirenia海牛,Gaming,2026-05-17T09:57:53Z,00:09:33,36435,688,34
42,e1HNiKzTh3s,爱的回声,Juseph cy - Topic,Music,2026-05-08T20:34:49Z,00:05:05,55317,190,3
43,sfNRYCWnbJk,Team Spirit vs. Team Falcons - PGL Astana 2026 - Playoffs: Grand Final,PGL,Gaming,2026-05-17T15:42:45Z,07:21:51,1522834,17102,168
44,dv1p4c1mwa0,Hit the Wall,Gracie Abrams - Topic,Music,2026-05-15T00:00:21Z,00:03:15,470247,12623,321
45,KVqKBRMSiiU,我出車禍了。我在M̴i̷̸n̶҉e̴c҈r̵a҉̴f҉t̶被酒駕撞 嚴重骨折...（公開兇嫌）Ft.羽毛,阿神,Gaming,2026-05-16T06:00:12Z,00:52:02,97440,3980,171
46,kmTZv6dxmDE,ddok ddok ddok,BOYNEXTDOOR - Topic,Music,2026-05-11T09:01:08Z,00:02:36,994704,19750,534
47,72xm14jwweI,我的世界：我将使用作弊器进行月球建造比拼！ #我的世界 #mc #minecraft,小蓝MC,Gaming,2026-05-17T00:45:00Z,00:34:00,25515,236,15
48,fK3hZkZSbqE,玻璃 (R&B氛围版),陆杰awr - Topic,Music,2026-05-12T04:06:14Z,00:03:22,24237,298,0
49,oRPT3H09ZB0,SHOWMATCH/FS vs PRX - VCT Pacific - Stage 1 - Grand Finals,VALORANT Champions Tour Pacific,Gaming,2026-05-17T13:55:41Z,05:37:12,930882,10131,42
50,AGfPb9GOgyw,诺言,Ye Lanqing - Topic,Music,2026-05-13T04:08:47Z,00:09:54,11012,55,0
