Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,bMhDJ0S0OBA,ILLIT (아일릿) ‘It’s Me’ Official MV,HYBE LABELS,Music,2026-04-30T08:58:06Z,00:02:27,8522072,298585,19590
2,SJPu1spHqfk,RESIDENT EVIL – Official Teaser Trailer (4K),Sony Pictures Entertainment,Entertainment,2026-04-30T12:59:32Z,00:01:54,3057404,148537,17309
3,NTEh8MX3pHg,[中文] DNS vs BRO | HLE vs T1 | 2026 LCK,LCK-Carry,Gaming,2026-05-01T13:37:25Z,05:48:02,663909,2362,64
4,-SEKt_0pdHM,NMIXX(엔믹스) “Crescendo” M/V,JYP Entertainment,Music,2026-04-28T09:00:01Z,00:02:46,2140154,199354,10162
5,EU0BkX3Sepw,【屍速列車】導演打造活屍電影超進化【屍速禁區】Colony 前導預告 2026.5.22(五) 全台大銀幕震撼上映｜全智賢 X 池昌旭 X 具教煥 X 申鉉彬  全新物種誕生！,GaragePlay 車庫娛樂,Film & Animation,2026-04-29T05:43:04Z,00:01:06,55282,663,38
6,8ml9PDdrG-0,我回到了1997年，一個充滿超自然事件的村子。爸媽居然留我一人在家！【Roblox 草莓郡 Mulberry County - 有感筆電】,有感筆電 Daptoper,Gaming,2026-05-01T10:00:20Z,00:33:07,124943,7274,555
7,mcJB9H0Nvbc,A-Lin《繞路 Detour》Official Music Video,A-Lin官方專屬頻道,Music,2026-04-29T12:01:33Z,00:04:53,539982,4035,182
8,NIk9ZN8eHis,《超能路人甲》| 正式預告 | Netflix,Netflix Taiwan,Entertainment,2026-04-30T00:00:00Z,00:01:57,29824,453,39
9,eR9sQAGxqmE,ROBLOX 踢飛幸運方塊！,Yuan2020,Gaming,2026-05-01T08:41:54Z,00:09:07,90651,2846,90
10,qJk0KO8jarU,阿杜 - Andy『你有多久没有看过那片海 你到现在对自己究竟多明白 总是不服输永远要比别人快 在你前方是否有你要的未来』【动态歌词MV/Lyrics】,Romance Season,People & Blogs,2026-04-25T09:01:09Z,00:05:12,144511,140,1
11,BMBhxRmyQ-o,《復仇者聯盟5》超機密隱藏預告 一般人都看不到!  末日博士終於正臉現身! 一次整理CinemaCon所有漫威大揭露 | 超粒方 | Avengers: Doomsday,超粒方,Film & Animation,2026-04-23T04:00:06Z,00:12:54,370544,4865,152
12,-KAM4BXnO2I,我訓練女兒挑戰1000等YouTuber (Rivals 競爭者),SlingshotBwai 中文頻道,People & Blogs,2026-04-29T11:41:56Z,00:14:14,152927,3032,2374
13,5DXqEa-7-Wg,かぐや (cv. 夏吉ゆうこ) & 月見ヤチヨ (cv. 早見沙織) - ray 超かぐや姫！Version / THE FIRST TAKE,THE FIRST TAKE,Music,2026-05-01T13:00:06Z,00:05:56,1088810,126460,4132
14,qb00PDb7eqM,Apex Legends: Overclocked Anthem Trailer,Apex Legends,Gaming,2026-04-28T15:00:06Z,00:01:58,1071207,33065,2607
15,Kbs9cwbqdUY,Minecraft 折斷樹幹，合成樹苗種植就能拿到最強物資，挑戰終界龍的世界生存,阿斯asu,Gaming,2026-04-29T09:00:33Z,00:21:00,139647,3127,143
16,XXIX2WnfbpE,"Lady Gaga, Doechii - RUNWAY (Official Music Video)",LadyGagaVEVO,Music,2026-04-27T19:00:23Z,00:02:59,6798360,469721,23273
17,3rB1Q_QsG6w,這部影片可能會被下架...我被粉絲跟蹤了。（請立刻停止！）,阿神,Gaming,2026-05-01T10:00:11Z,00:50:06,147257,7458,365
18,cR81G_JNs_E,陳勢安 Andrew Tan - 我墜落你自由 Falling For Your Freedom Official MV,陳勢安 Andrew Tan,Music,2026-04-28T12:01:10Z,00:03:48,285163,2127,79
19,ArOZ0Lx0Tw0,【傳說對決】💪與『進擊的巨人』連動的全新克萊斯造型「艾連葉卡」正式登場！到底要多少點？二技能滿滿細節，大招變身巨人，抽獎前必看👀【Lobo】Arena of Valor 艾連  Eren Jaeger,Lobo 蘿蔔,Gaming,2026-05-01T06:33:30Z,00:10:32,47860,896,437
20,XDzGoMtSqZA,It's Me,ILLIT - Topic,Music,2026-04-30T09:00:44Z,00:02:19,922885,31572,838
21,bOs5MsnV2gg,【尊】這是一款作者要搞你心態的「超難自虐遊戲」! ? 樹會開槍是花生省魔樹...🌳【第二頻道】,人生魯宅x尊-第2頻道,People & Blogs,2026-05-01T10:00:56Z,00:11:53,61166,2569,151
22,IwCbh2fCrOg,NMIXX(엔믹스) “Crescendo” Stage Practice,NMIXX,Entertainment,2026-04-30T09:00:01Z,00:02:48,380388,37695,1877
23,FCY6IweUwrg,【異環】公測必看開荒懶人包💥▸怕走歪路？看這支！新手常見踩坑點？體力/活力怎麼用？快速衝等/賺錢秘技？買車還是買房優先？14張S級弧盤白嫖點位全公開！ ▹璐洛洛◃,璐洛洛 Ruroro【人造人Vtuber】,Gaming,2026-04-29T13:30:06Z,00:19:57,108080,2406,226
24,a7ziV-RjqBo,Jay Chou 周杰倫【Who Cares 誰稀罕】Official Music Video,周杰倫 Jay Chou,Music,2026-04-24T04:00:01Z,00:04:23,2458251,14148,1430
25,V8szfQG-qCw,尼克星｜國一生半夜找我單挑…結果我被教育了?｜傳說對決｜,尼克星拳擊,Gaming,2026-05-01T09:00:48Z,00:12:32,48303,1189,156
26,j7Z4fo1-tRU,胡沫 - 嘉賓『我放下所有回憶 來成全你的愛情 卻始終不願相信 這是命』【動態歌詞MV/Lyrics】,Nightfall Tunes,People & Blogs,2026-04-23T09:00:56Z,00:05:34,226382,109,3
27,qP8KCLi5f3M,【造型公道伯】全網首發亞妮女巨人實測🔥十年來最猛免費造型 根本是抽獎等級！特效還原原作 硬質化 高踢腿 召喚女巨人！手感也同樣有料嗎？【小珉】,MING小珉 中路教科書,Gaming,2026-05-01T06:18:06Z,00:09:35,66038,925,122
28,iWeRglrNu6E,tuki. 『零-zero-』Official Music Video,tuki.(17),Music,2026-04-27T12:00:06Z,00:04:23,453734,26412,1145
29,8HPzg79Se6s,Minecraft 社群最瘋狂的鬧劇！ Minecraft PvP最強女玩家被指控作弊？甚至被其他Youtuber踢爆真實身份是男人？MCTiers長期霸榜第一頂尖玩家【Marlow】的爭議事件,GamerSecret 玩家機密,Gaming,2026-04-30T11:05:30Z,00:22:39,80966,1482,207
