Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,iTJSbJtS8MU,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,SMTOWN,Music,2026-05-11T09:00:56Z,00:03:09,11530928,419429,28223
2,-IPy0qiyh-4,《氣體人第一號》| 正式前導預告 | Netflix,Netflix Taiwan,Entertainment,2026-05-12T23:00:00Z,00:01:25,76148,1061,141
3,L8EKPtUyVn4,[中文] T1 vs NS | DNS vs DK | 2026 LCK,LCK-Carry,Gaming,2026-05-13T12:11:02Z,04:30:03,348386,1401,6
4,6Ycn9qZK09I,NMIXX(엔믹스) “Heavy Serenade” M/V,JYP Entertainment,Music,2026-05-11T09:00:04Z,00:03:32,14103905,180232,13492
5,Qb-N2obH5Os,《STRANGER THAN HEAVEN》發表第一支預告片,SEGAasia,Gaming,2026-05-07T00:09:01Z,00:04:58,125969,4817,536
6,Fjfw6UVMuEc,【LCK】T1 vs NS 老鬼瑞天帝模式超猛一打四! Keria生涯6000助攻目標#1! BO3全場精華 | 2026 LCK,Cielo-聯盟精華,Gaming,2026-05-13T10:44:20Z,00:30:44,100280,801,70
7,hGqYdubpcCM,Heavy Serenade,NMIXX - Topic,Music,2026-04-23T05:58:50Z,00:03:00,1472322,23944,453
8,SrLEePnRoKw,Minecraft 存在精神異常的恐怖怪物『太陽巨人』麥塊世界生存 【The Sun Man】,阿斯,Gaming,2026-05-12T09:38:20Z,00:29:03,124947,3493,167
9,ZAsxW7bkK-A,WDA (Whole Different Animal) (feat. G-DRAGON),aespa - Topic,Music,2026-05-11T09:00:46Z,00:02:54,1723537,34184,1200
10,9Gi3pKI3IdY,機長黃瓜不止開挂那麽簡單.. (事件全紀錄+我的看法),HacqR 游戏频道,Gaming,2026-05-12T12:06:38Z,00:18:13,101486,3757,827
11,nCElUD0jvgo,CORTIS (코르티스) 'ACAI' Official MV,HYBE LABELS,Music,2026-05-11T11:58:06Z,00:03:11,3102833,407968,19079
12,TeaUuF2NShE,【Stanley】疊戒人馬王打野頂級開團！對線期下路一打三差點全收！30分鐘80殺這就是陸服aka戰鬥服！預示者開車一路撞到底..啊我隊友勒！？史丹利對這個角色還熟悉嗎？,Stanley 史丹利,Gaming,2026-05-13T09:30:12Z,00:10:28,83265,1412,62
13,uzVdsZbYibQ,周深 ZHOU SHEN X MAYDAY 五月天 [ 如煙 Like Smoke ] 5525+2版 Official Stage Video,相信音樂BinMusic,Music,2026-05-10T13:25:16Z,00:05:42,256325,9429,807
14,QfHWYe1OwmE,當我掏出最強考試套組！並在遊戲裡面挑戰考5A++！！？【 Rivals 競爭者】,RD 阿東,Gaming,2026-05-13T10:00:39Z,00:09:32,77572,2699,510
15,laOwIwY_dWg,かぐや (cv. 夏吉ゆうこ) & 月見ヤチヨ (cv. 早見沙織) - ワールドイズマイン CPK! Remix / THE FIRST TAKE,THE FIRST TAKE,Music,2026-05-13T13:00:07Z,00:04:57,728136,72199,2227
16,4mCyzzMlXY0,我在ROBLOX的+1跳躍進化塔裡進化成最搞笑的動物！,Yuan2020,Gaming,2026-05-10T05:09:53Z,00:12:28,205421,3677,118
17,x3eqqoZPV_E,BABYMONSTER - '춤 (CHOOM)' M/V,BABYMONSTER,Music,2026-05-04T09:21:33Z,00:03:25,62438272,1117089,78949
18,vVr22IubMCQ,【DE JuN】到恐怖老頭家偷東西！盜賊小矮人(burglin' gnomes),DE JuN,Entertainment,2026-05-10T08:05:57Z,00:35:24,172685,3535,187
19,kmTZv6dxmDE,ddok ddok ddok,BOYNEXTDOOR - Topic,Music,2026-05-11T09:01:08Z,00:02:36,491770,14536,490
