Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,WxGWMI2B7r8,BOYNEXTDOOR (보이넥스트도어) '똑똑똑' Official MV,HYBE LABELS,Music,2026-05-10T14:59:06Z,00:02:47,1342293,128657,11863
2,Qb-N2obH5Os,《STRANGER THAN HEAVEN》發表第一支預告片,SEGAasia,Gaming,2026-05-07T00:09:01Z,00:04:58,100589,4259,487
3,Qjw1VJlh1xQ,[中文] T1 vs DK | KRX vs HLE | 2026 LCK,LCK-Carry,Gaming,2026-05-10T13:19:16Z,05:25:18,538222,1855,15
4,x3eqqoZPV_E,BABYMONSTER - '춤 (CHOOM)' M/V,BABYMONSTER,Music,2026-05-04T09:21:33Z,00:03:25,50231270,1064978,74315
5,oYhaW-Vr4wg,Forza Horizon 6 – Official Launch Trailer,Forza,Gaming,2026-05-08T15:00:16Z,00:01:36,1171640,75400,4007
6,4mCyzzMlXY0,我在ROBLOX的+1跳躍進化塔裡進化成最搞笑的動物！,Yuan2020,Gaming,2026-05-10T05:09:53Z,00:12:28,112635,2395,95
7,uzVdsZbYibQ,周深 ZHOU SHEN X MAYDAY 五月天 [ 如煙 Like Smoke ] 5525+2版 Official Stage Video,相信音樂BinMusic,Music,2026-05-10T13:25:16Z,00:05:42,69542,4913,445
8,ecbfKVwM508,【奧德賽】最新預告 - 17.07.26 全台戲院見,環球影片 官方頻道,Film & Animation,2026-05-05T05:09:27Z,00:02:26,279325,2684,280
9,vVr22IubMCQ,【DE JuN】到恐怖老頭家偷東西！盜賊小矮人(burglin' gnomes),DE JuN,Entertainment,2026-05-10T08:05:57Z,00:35:24,96707,2635,164
10,iJZzZh91wXw,停顿的钟 R&B完整版,凯文-Kevin - Topic,Music,2026-05-05T22:35:04Z,00:03:14,131145,1208,0
11,MoyAio-MUZU,《紙房子》全新篇章持續發酵 | 正式預告 | Netflix,Netflix Taiwan,Entertainment,2026-05-09T20:28:32Z,00:01:05,16256,218,22
12,aslmbRhOBjI,【有感筆電】我討厭腦腐.. 不要再tung tung tung sahur了!!【Roblox I HATE BRAINROT 全破】,有感筆電 Daptoper,Gaming,2026-05-08T10:00:05Z,00:15:13,278312,8852,770
13,F0UIsSnotlA,"HAN ""back to life"" | [Stray Kids : SKZ-PLAYER]",Stray Kids,Music,2026-05-08T15:00:02Z,00:04:20,2174456,426062,34824
14,tSTOiVqY3x8,2026 傳說女神盃 季後賽－ 2026/05/10《Garena 傳說對決》,Garena 傳說對決,Gaming,2026-05-10T14:15:14Z,07:19:09,117872,569,43
15,PxGnk8-IxoA,還是錯過了,영주 李瑩珠 - Topic,Music,2026-05-07T10:03:22Z,00:04:19,29135,1077,111
16,NoFpOBrE4EQ,【LNG精華】哪有志翔天天哭 哪有八毛天天輸  / 《Gxmble With Your Friend》遊戲精華,玉子燒,People & Blogs,2026-05-10T11:02:13Z,00:31:50,68980,1802,114
17,U7P5HttUSDw,Lonely Duet,邱鋒澤 Feng Ze - Topic,Music,2026-04-30T10:02:48Z,00:03:42,26252,93,1
18,bGotE0_DiCs,Minecraft 兇猛！每次打倒『深海巨型恐怖海怪』能夠越來越強的世界生存,阿斯asu,Gaming,2026-05-10T09:00:55Z,00:31:36,71959,2198,118
19,XHtO7as5v0I,IVE - BANG BANG | Live from Vevo Studios,IVEVEVO,Music,2026-05-06T16:01:01Z,00:03:03,956221,53013,1843
20,s_CAEbrvKjc,我被機長黃瓜威脅了? 機長黃瓜開掛事件落幕 | 霜淇淋,霜淇淋的遊戲時間 Berd Lo,Gaming,2026-05-10T04:00:33Z,00:03:01,51871,1630,365
21,adsrNFdIxLg,王菲 Faye Wong《主角》電視劇同名主題曲 (Official MV),Faye Wong Official Channel,Music,2026-05-08T04:00:33Z,00:04:45,114970,2810,392
22,-T-2kLRJ-PI,我第一個拿到200萬YouTuber Cruz的專屬吊飾 (Rivals 競爭者),SlingshotBwai 中文頻道,Gaming,2026-05-09T10:00:01Z,00:14:22,92110,2942,341
23,SCySL2FKuCc,Blue Lips,CORTIS - Topic,Music,2026-05-04T09:00:40Z,00:02:22,1810527,101437,4684
24,TUgE_6fuwTo,【Stanley】疊戒物穿流嘉文王輔助！野輔兄弟檔齊心大鬧野區！無情秒殺高三等打野！隊友不給力？就選一隻強力輔助開Ｃ！這就是陸服aka戰鬥伺服器！所有人眼裡只有人頭！？,Stanley 史丹利,Gaming,2026-05-10T09:30:14Z,00:11:16,64971,1136,32
25,MSf4W5H8O2w,过活,承桓 - Topic,Music,2026-04-30T21:06:03Z,00:03:45,62142,174,0
26,Y8_4OSnbUZQ,【偷走腦腐】後室都市傳說！躲避實體蜘蛛薩米以獲得腦腐！【Steal a Brainrot】【Roblox】【機械方塊】,R子_第2頻道,Gaming,2026-05-10T08:57:47Z,00:10:48,72862,1282,113
27,Ej5sYrSf0Ns,tuki. 『最低界隈』1st Live at NIPPON BUDOKAN,tuki.(17),Music,2026-05-08T10:00:07Z,00:03:49,181489,11556,401
28,oXhKSEGofOI,【LCK】T1 vs DK 車神多蘭360配合小K馬戲團! Smash團戰慘遭連環車禍! BO3全場精華 | 2026 LCK,Cielo-聯盟精華,Gaming,2026-05-10T10:15:38Z,00:27:42,59199,524,60
29,YBGMYSSYLZs,【MV首播】陳淑萍 vs 沈建豪 - 前世我欠你 (官方完整版MV) HD【三立八點檔『 百味人生』金曲片頭】,豪記唱片 HCM Music,Music,2026-05-05T02:00:06Z,00:05:14,76575,1583,115
30,O_tARfiGd-Q,我把超新星之星全買下來了！秒殺虛空芬克斯獎勵！這個賽季我要改名..美少女小盛強勢登場✨！抽造型我輸過很多次，但我從沒怕過！【荒野亂鬥】,盛主播,Gaming,2026-05-08T08:11:02Z,00:10:55,144772,2279,200
31,_opQpDYh33I,Jenevieve - Hvnly (feat. JIHYO of TWICE) [Official Music Video],JenevieveVEVO,Music,2026-05-08T04:00:45Z,00:02:58,722020,75835,3620
32,_NjHdJB8SOk,【館長直播完整版】2026/05/08/週日 惡靈古堡9 DLC ~ 綠營全面進攻護理師~ 全網百工百業挺無人機! 賴清德罪逆天跪拜屠殺殖民者,館長惡名昭彰,Gaming,2026-05-10T16:22:16Z,04:20:11,76819,3691,168
33,vviU2vsSe5M,If You Were My World,SAM KIM - Topic,Music,2026-05-08T09:01:21Z,00:03:18,263069,4798,177
34,82oiVSPGZ5A,傳說對決越南官方授權｜SGP vs FPT  越南冠軍賽＋APL外卡賽抽籤！這屆的越南到底強度在哪裡，角色聽說超多變！【Gary蓋瑞】,Gary蓋瑞,Gaming,2026-05-10T16:00:36Z,05:19:39,63697,387,1
35,5VOA3QWerNI,月老失了神,優諾NUO - Topic,Music,2026-05-08T10:02:17Z,00:02:55,11011,162,13
36,IfrBrBXfNm4,朋友變成殭屍啦😱整間學校全面淪陷🔥,神貓大爛 Canetago,Gaming,2026-05-09T09:00:31Z,00:10:55,39000,762,59
37,8DnzgVdT_FA,最后一次说爱你,020music - Topic,Music,2026-05-05T03:26:21Z,00:05:38,19808,120,0
38,xBjWnmLYHrc,Minecraft 讓紅月空手屠龍！去完成自製的10種特殊全成就生存【方塊boy】,方塊boy,Gaming,2026-05-06T08:00:06Z,00:48:12,165427,5892,253
39,etMKYzB1L6c,un Wild (向风而野),乌娜鹿 - Topic,Music,2026-05-04T01:27:36Z,00:03:30,61389,671,0
40,BEJtbUHkXls,選最弱的種族，挨最毒的打！在英雄無敵3玩地獄什麼感受？,老孫聊遊戲,Gaming,2026-05-10T11:38:08Z,00:15:24,59163,1802,129
41,jW3j6yd2srQ,抱緊緊（2026年民視、公視台語台、中華電信...,陳佩賢 - Topic,Music,2026-05-07T16:04:35Z,00:04:13,12578,140,11
42,-SAvmXimWaY,傳說對決 |這就是夜叉若依!轉天轉地瘋狂轉線打到膀胱局23分鐘?| Sirenia 海牛 |夜叉,Sirenia海牛,Gaming,2026-05-09T10:41:22Z,00:10:24,55946,1217,73
43,VW_BoQVfjJA,Just Fine (一切安好),蓝幻新 - Topic,Music,2026-05-04T01:27:18Z,00:02:56,28683,297,0
44,6hbLJH8DsaQ,【超爆笑】我變成【恐怖奶奶Granny】惡整阿斯！笑死🤪追殺Youtuber，被抓到～就用奶奶攻擊😂!! Ft.阿斯 DK2.0,阿神,Gaming,2026-05-10T06:00:11Z,00:35:32,52598,2691,90
45,OULG7etEQsI,9m88-'我只想唱歌給你聽 I Just Want To Sing For You' Official MV,9m88,Music,2026-05-07T12:00:48Z,00:04:15,73927,2171,96
46,dDovFH9LH00,RRQ vs T1 / KRX vs PRX - VCT Pacific - Stage 1 - Playoffs - Day 4,VALORANT Champions Tour Pacific,Gaming,2026-05-10T14:32:06Z,07:06:48,875573,7955,17
