Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,iTJSbJtS8MU,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,SMTOWN,Music,2026-05-11T09:00:56Z,00:03:09,12057539,435257,29067
2,-IPy0qiyh-4,《氣體人第一號》| 正式前導預告 | Netflix,Netflix Taiwan,Entertainment,2026-05-12T23:00:00Z,00:01:25,97170,1251,171
3,L8EKPtUyVn4,[中文] T1 vs NS | DNS vs DK | 2026 LCK,LCK-Carry,Gaming,2026-05-13T12:11:02Z,04:30:03,354308,1426,6
4,6Ycn9qZK09I,NMIXX(엔믹스) “Heavy Serenade” M/V,JYP Entertainment,Music,2026-05-11T09:00:04Z,00:03:32,16428145,187557,14050
5,Qb-N2obH5Os,《STRANGER THAN HEAVEN》發表第一支預告片,SEGAasia,Gaming,2026-05-07T00:09:01Z,00:04:58,130420,4879,542
6,Nwd1tIWyxpk,【尊】我玩了一款史上抽象的「躲兵役遊戲」 ! ? 再怎麼逃還是要被抓去當兵的...【第二頻道】,人生魯宅x尊-第2頻道,People & Blogs,2026-05-14T10:00:29Z,00:12:21,84690,3129,164
7,hGqYdubpcCM,Heavy Serenade,NMIXX - Topic,Music,2026-04-23T05:58:50Z,00:03:00,1737969,26909,504
8,Fjfw6UVMuEc,【LCK】T1 vs NS 老鬼瑞天帝模式超猛一打四! Keria生涯6000助攻目標#1! BO3全場精華 | 2026 LCK,Cielo-聯盟精華,Gaming,2026-05-13T10:44:20Z,00:30:44,113692,855,71
9,ZAsxW7bkK-A,WDA (Whole Different Animal) (feat. G-DRAGON),aespa - Topic,Music,2026-05-11T09:00:46Z,00:02:54,2012712,37625,1246
10,OEJeaErwutI,【Stanley】879AP中路提摩決戰高地！電刀改版遠距離高壓電蘑菇直接電史！全場蘑菇瘋狂BD！30分鐘高速滿裝輸出拉滿！AD睡了整場高地一波覺醒逆轉！？,Stanley 史丹利,Gaming,2026-05-14T09:30:11Z,00:10:48,75965,1661,119
11,nCElUD0jvgo,CORTIS (코르티스) 'ACAI' Official MV,HYBE LABELS,Music,2026-05-11T11:58:06Z,00:03:11,3402172,420769,19289
12,QfHWYe1OwmE,當我掏出最強考試套組！並在遊戲裡面挑戰考5A++！！？【 Rivals 競爭者】,RD 阿東,Gaming,2026-05-13T10:00:39Z,00:09:32,100733,3141,579
13,uzVdsZbYibQ,周深 ZHOU SHEN ╳ MAYDAY 五月天 [ 如煙 Like Smoke ] 5525+2版 Official Stage Video,相信音樂BinMusic,Music,2026-05-10T13:25:16Z,00:05:42,408621,10027,856
14,SrLEePnRoKw,Minecraft 存在精神異常的恐怖怪物『太陽巨人』麥塊世界生存 【The Sun Man】,阿斯,Gaming,2026-05-12T09:38:20Z,00:29:03,142770,3743,176
15,laOwIwY_dWg,かぐや (cv. 夏吉ゆうこ) & 月見ヤチヨ (cv. 早見沙織) - ワールドイズマイン CPK! Remix / THE FIRST TAKE,THE FIRST TAKE,Music,2026-05-13T13:00:07Z,00:04:57,1053898,89379,2500
16,9Gi3pKI3IdY,機長黃瓜不止開挂那麽簡單.. (事件全紀錄+我的看法),HacqR 游戏频道,Gaming,2026-05-12T12:06:38Z,00:18:13,113794,3954,865
17,D9IBR85EfZY,忍住 (烟嗓 r&b版本）,GoodBrother-老六 - Topic,Music,2026-05-10T03:41:23Z,00:03:44,52348,350,6
18,QZSPqs5lQQA,【館長直播完整版】2026/05/014/週四 權力遊戲~~ 川普訪華 看的出來中國真的很強~ 台灣綠媒側翼罵一生我聽聽 台北市長穩贏 壯洋博起,館長惡名昭彰,Gaming,2026-05-14T16:16:06Z,04:08:28,102771,4820,255
19,x3eqqoZPV_E,BABYMONSTER - '춤 (CHOOM)' M/V,BABYMONSTER,Music,2026-05-04T09:21:33Z,00:03:25,64357087,1127852,79906
20,4mCyzzMlXY0,我在ROBLOX的+1跳躍進化塔裡進化成最搞笑的動物！,Yuan2020,Gaming,2026-05-10T05:09:53Z,00:12:28,219537,3840,119
21,kmTZv6dxmDE,ddok ddok ddok,BOYNEXTDOOR - Topic,Music,2026-05-11T09:01:08Z,00:02:36,584875,15738,504
22,TFEC6hzAX9M,這就是PRO蜜娜嗎...他還在操作！淘汰賽連續三次殘局1個打3個！請問在台灣我能跟自己結婚嗎？可以的話我明天就去公證【荒野亂鬥】,盛主播,Gaming,2026-05-13T09:00:12Z,00:11:44,65201,1176,56
