Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,iTJSbJtS8MU,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,SMTOWN,Music,2026-05-11T09:00:56Z,00:03:09,8962584,340515,23558
2,Qb-N2obH5Os,《STRANGER THAN HEAVEN》發表第一支預告片,SEGAasia,Gaming,2026-05-07T00:09:01Z,00:04:58,111266,4516,509
3,Qjw1VJlh1xQ,[中文] T1 vs DK | KRX vs HLE | 2026 LCK,LCK-Carry,Gaming,2026-05-10T13:19:16Z,05:25:18,550524,1884,17
4,6Ycn9qZK09I,NMIXX(엔믹스) “Heavy Serenade” M/V,JYP Entertainment,Music,2026-05-11T09:00:04Z,00:03:32,4661052,146804,11256
5,MoyAio-MUZU,《紙房子》全新篇章持續發酵 | 正式預告 | Netflix,Netflix Taiwan,Entertainment,2026-05-09T20:28:32Z,00:01:05,24550,310,27
6,4mCyzzMlXY0,我在ROBLOX的+1跳躍進化塔裡進化成最搞笑的動物！,Yuan2020,Gaming,2026-05-10T05:09:53Z,00:12:28,158637,3125,104
7,hGqYdubpcCM,Heavy Serenade,NMIXX - Topic,Music,2026-04-23T05:58:50Z,00:03:00,477479,12353,267
8,oYhaW-Vr4wg,Forza Horizon 6 – Official Launch Trailer,Forza,Gaming,2026-05-08T15:00:16Z,00:01:36,1312280,78882,4202
9,vVr22IubMCQ,【DE JuN】到恐怖老頭家偷東西！盜賊小矮人(burglin' gnomes),DE JuN,Entertainment,2026-05-10T08:05:57Z,00:35:24,141297,3193,182
10,WxGWMI2B7r8,BOYNEXTDOOR (보이넥스트도어) '똑똑똑' Official MV,HYBE LABELS,Music,2026-05-10T14:59:06Z,00:02:47,2970788,164034,13811
11,ecbfKVwM508,【奧德賽】最新預告 - 17.07.26 全台戲院見,環球影片 官方頻道,Film & Animation,2026-05-05T05:09:27Z,00:02:26,295710,2715,285
12,NoFpOBrE4EQ,【LNG精華】哪有志翔天天哭 哪有八毛天天輸  / 《Gxmble With Your Friend》遊戲精華,玉子燒,People & Blogs,2026-05-10T11:02:13Z,00:31:50,110272,2342,126
13,uzVdsZbYibQ,周深 ZHOU SHEN X MAYDAY 五月天 [ 如煙 Like Smoke ] 5525+2版 Official Stage Video,相信音樂BinMusic,Music,2026-05-10T13:25:16Z,00:05:42,167632,7658,652
14,bGotE0_DiCs,Minecraft 兇猛！每次打倒『深海巨型恐怖海怪』能夠越來越強的世界生存,阿斯asu,Gaming,2026-05-10T09:00:55Z,00:31:36,107941,2802,141
15,ZAsxW7bkK-A,WDA (Whole Different Animal) (feat. G-DRAGON),aespa - Topic,Music,2026-05-11T09:00:46Z,00:02:54,810093,22625,947
16,Jm2fDO5frkc,【Stanley】慎丹利打野頂級全球流支援！只有懂得犧牲奉獻才玩得了的角色！野區一等單殺兩等都什麼水平！這就是慎本人的實力嗎？喊話RIOT希望改版慎大絕機制？沒到場的不確定因素導致這角色離開比賽場！？,Stanley 史丹利,Gaming,2026-05-11T09:30:17Z,00:10:44,98177,1624,79
17,x3eqqoZPV_E,BABYMONSTER - '춤 (CHOOM)' M/V,BABYMONSTER,Music,2026-05-04T09:21:33Z,00:03:25,54958417,1085992,75877
18,aslmbRhOBjI,【有感筆電】我討厭腦腐.. 不要再tung tung tung sahur了!!【Roblox I HATE BRAINROT 全破】,有感筆電 Daptoper,Gaming,2026-05-08T10:00:05Z,00:15:13,301898,9304,813
19,iJZzZh91wXw,停顿的钟 R&B完整版,凯文-Kevin - Topic,Music,2026-05-05T22:35:04Z,00:03:14,165479,1328,0
20,DOOGSJXVhww,傳說對決 |原來免費抽會中造型是真的...?里維造型手感不到最頂但CP值一定是最頂!| Sirenia 海牛 |納克羅斯,Sirenia海牛,Gaming,2026-05-11T08:56:39Z,00:09:32,71361,1349,60
21,F0UIsSnotlA,"HAN ""back to life"" | [Stray Kids : SKZ-PLAYER]",Stray Kids,Music,2026-05-08T15:00:02Z,00:04:20,2553999,453049,35915
22,LnNzCN4yklU,【DinTer】開箱超扯帳號48等收穫女神怪物力騎！把經典服當私服在玩的超狂團隊！擁有隱身術+體力回復術的超奢華補機！62防竟能穩掛火窟練功！超稀奇畫面法師用冰雪暴在火窟練功？,Dinter,Gaming,2026-05-11T09:00:26Z,00:10:45,116796,824,94
23,PxGnk8-IxoA,還是錯過了,영주 李瑩珠 - Topic,Music,2026-05-07T10:03:22Z,00:04:19,51174,1133,114
24,tSTOiVqY3x8,2026 傳說女神盃 季後賽－ 2026/05/10《Garena 傳說對決》,Garena 傳說對決,Gaming,2026-05-10T14:15:14Z,07:19:09,121938,576,47
25,kmTZv6dxmDE,ddok ddok ddok,BOYNEXTDOOR - Topic,Music,2026-05-11T09:01:08Z,00:02:36,171805,9612,384
26,s_CAEbrvKjc,我被機長黃瓜威脅了? 機長黃瓜開掛事件落幕 | 霜淇淋,霜淇淋的遊戲時間 Berd Lo,Gaming,2026-05-10T04:00:33Z,00:03:01,61328,1790,408
27,U7P5HttUSDw,Lonely Duet,邱鋒澤 Feng Ze - Topic,Music,2026-04-30T10:02:48Z,00:03:42,35647,122,1
28,ILRLL0eopFQ,陪玩事件道歉影片【乖兒子】,乖兒子,Gaming,2026-05-11T08:46:18Z,00:03:37,48375,2456,278
29,XHtO7as5v0I,IVE - BANG BANG | Live From Vevo Studios,IVEVEVO,Music,2026-05-06T16:01:01Z,00:03:03,1083744,54979,1887
30,Y8_4OSnbUZQ,【偷走腦腐】後室都市傳說！躲避實體蜘蛛薩米以獲得腦腐！【Steal a Brainrot】【Roblox】【機械方塊】,R子_第2頻道,Gaming,2026-05-10T08:57:47Z,00:10:48,91878,1449,118
31,5VOA3QWerNI,月老失了神,優諾NUO - Topic,Music,2026-05-08T10:02:17Z,00:02:55,20779,223,15
32,KtC6any5_24,【館長直播完整版】2026/05/011/週一 抓帝王蟹~ 網路青鳥護無人機股票 ! 台灣要醫療品質必須再投給賴皮 ~ 民眾黨一個立委五千萬,館長惡名昭彰,Gaming,2026-05-11T16:19:58Z,04:05:11,65137,3462,113
33,adsrNFdIxLg,王菲 Faye Wong《主角》電視劇同名主題曲 (Official MV),Faye Wong Official Channel,Music,2026-05-08T04:00:33Z,00:04:45,144451,3233,425
34,-T-2kLRJ-PI,我第一個拿到200萬YouTuber Cruz的專屬吊飾 (Rivals 競爭者),SlingshotBwai 中文頻道,Gaming,2026-05-09T10:00:01Z,00:14:22,101383,3128,362
35,8DnzgVdT_FA,最后一次说爱你,020music - Topic,Music,2026-05-05T03:26:21Z,00:05:38,35663,176,0
36,oXhKSEGofOI,【LCK】T1 vs DK 車神多蘭360配合小K馬戲團! Smash團戰慘遭連環車禍! BO3全場精華 | 2026 LCK,Cielo-聯盟精華,Gaming,2026-05-10T10:15:38Z,00:27:42,70073,583,62
37,Ej5sYrSf0Ns,tuki. 『最低界隈』1st Live at NIPPON BUDOKAN,tuki.(17),Music,2026-05-08T10:00:07Z,00:03:49,214356,12249,417
38,2_FpQj_f69g,【首发评测】Steam 出手柄了！这东西凭啥卖断货？,小宁子 XNZ,Gaming,2026-05-11T04:37:31Z,00:10:06,113535,2827,251
39,vviU2vsSe5M,If You Were My World,Sam Kim - Topic,Music,2026-05-08T09:01:21Z,00:03:18,374149,5348,181
40,670ZawtZfho,尼克星｜官方送我進擊的巨人造型後…我直接掉回鑽石｜傳說對決｜,尼克星拳擊,Gaming,2026-05-11T13:17:24Z,00:19:25,59312,782,221
41,3G0A03PFMg0,ACAI,CORTIS - Topic,Music,2026-05-04T09:00:10Z,00:02:54,2417843,127925,4708
42,BEJtbUHkXls,選最弱的種族，挨最毒的打！在英雄無敵3玩地獄什麼感受？,老孫聊遊戲,Gaming,2026-05-10T11:38:08Z,00:15:24,84829,2201,173
43,SbMlJ2ku_kY,心聲淚痕 × 情難守,Kai Xyelune - Topic,Music,2026-05-09T07:09:13Z,00:09:24,11824,136,0
44,O_tARfiGd-Q,我把超新星之星全買下來了！秒殺虛空芬克斯獎勵！這個賽季我要改名..美少女小盛強勢登場✨！抽造型我輸過很多次，但我從沒怕過！【荒野亂鬥】,盛主播,Gaming,2026-05-08T08:11:02Z,00:10:55,155125,2342,209
45,_opQpDYh33I,Jenevieve - Hvnly (feat. JIHYO of TWICE) [Official Music Video],JenevieveVEVO,Music,2026-05-08T04:00:45Z,00:02:58,868740,82339,3856
46,6dFUXL6YLWE,【Mande中文】🐰✨Mande猜觀眾的APEX牌位－第２集🐰✨,Mande官方中文,People & Blogs,2026-05-11T09:59:38Z,00:34:05,37509,637,79
47,oz3ZEzep2I0,圓周率,齊翔 XIANG - Topic,Music,2026-05-07T10:02:14Z,00:03:30,31937,591,7
48,6hbLJH8DsaQ,【超爆笑】我變成【恐怖奶奶Granny】惡整阿斯！笑死🤪追殺Youtuber，被抓到～就用奶奶攻擊😂!! Ft.阿斯 DK2.0,阿神,Gaming,2026-05-10T06:00:11Z,00:35:32,70618,3261,99
49,YBGMYSSYLZs,【MV首播】陳淑萍 vs 沈建豪 - 前世我欠你 (官方完整版MV) HD【三立八點檔『 百味人生』金曲片頭】,豪記唱片 HCM Music,Music,2026-05-05T02:00:06Z,00:05:14,87186,1663,115
50,IfrBrBXfNm4,朋友變成殭屍啦😱整間學校全面淪陷🔥,神貓大爛 Canetago,Gaming,2026-05-09T09:00:31Z,00:10:55,45253,840,62
