Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,PVzSI9PpkXc,마마무(MAMAMOO) '4 Flowers' MV,MAMAMOO,Music,2026-06-04T09:00:22Z,00:03:23,1206121,86990,7369
2,HLMX2w3cwuE,God of War Laufey - Gameplay Reveal Trailer | PS5 Games,PlayStation,Gaming,2026-06-02T22:15:01Z,00:23:45,5363737,348051,25419
3,1JXLkrwOiTU,【傳說超神盃】6/2 星星幫傳說戰隊 vs 珉天還要贏 BO3｜大家都說我們會墊底…今天正式開打,尼克星拳擊,Entertainment,2026-06-02T16:28:22Z,04:04:55,181550,1308,243
4,83C3TZ4Zm_o,aespa 에스파 'LEMONADE' MV,SMTOWN,Music,2026-05-29T04:00:16Z,00:03:12,18369945,628155,35732
5,tKwH3pNFEbo,【超少女】終極預告，6月24日（週三）大銀幕鉅獻,華納兄弟台灣,Film & Animation,2026-06-03T16:05:08Z,00:02:11,44805,931,286
6,CfhAVYWC5Xs,【Sirenia海牛】傳說超神盃 六取四循環賽 DAY1,Sirenia海牛,Gaming,2026-06-02T14:11:27Z,03:01:30,170935,1346,30
7,pWOVb01U-c4,BABYMONSTER - 'SUGAR HONEY ICE TEA' M/V TEASER,BABYMONSTER,Music,2026-06-03T15:00:01Z,00:00:28,2755351,270013,16806
8,ObbfjEJC17c,【搶銀行先修班】官方預告 - 9月4日（週五）先搶先贏,Sony Pictures 索尼影業,Entertainment,2026-06-02T13:00:10Z,00:02:06,35814,685,69
9,ePw3xdN7T7E,Minecraft 掉落現代軍火！所有『掉落物品隨機但是最強』生存，甚至出現遭遇強大怪物,阿斯asu,Gaming,2026-06-04T09:00:02Z,00:25:24,111695,2896,101
10,aHM2RKeMaeM,MEOVV(미야오) - ‘DDI RO RI’ M/V,THEBLACKLABEL,Music,2026-06-01T09:47:30Z,00:03:20,7192906,N/A,12995
11,1s7zfPv2FV4,(FW NaiLiu) 6/4 星星幫 go 明天比賽加油,FW NaiLiu,Gaming,2026-06-04T18:10:03Z,03:18:22,65751,633,61
12,o_0OJlOwDWs,A Little Longer,韦礼安 - Topic,Music,2026-06-01T10:00:13Z,00:04:07,61738,671,16
