Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,83C3TZ4Zm_o,aespa 에스파 'LEMONADE' MV,SMTOWN,Music,2026-05-29T04:00:16Z,00:03:12,13973971,539103,31961
2,md6rhLgaXsg,【揭密日】終極預告 - 06.10.26 戲院見,環球影片 官方頻道,Film & Animation,2026-05-29T04:06:17Z,00:02:39,41984,618,118
3,NGpjr59biN0,[中文] KT vs DNS | BFX vs T1 | 2026 LCK,LCK-Carry,Gaming,2026-05-30T12:37:08Z,05:06:38,487080,2076,46
4,SlQR9iu09bQ,SON TUNG M-TP x TYGA | COME MY WAY | OFFICIAL MUSIC VIDEO,Sơn Tùng M-TP Official,Music,2026-05-28T13:00:06Z,00:04:18,20102125,1148746,156486
5,9Eoo_xrNXEM,《現代戰爭4》| 發布預告片,《決勝時刻》繁體中文,Gaming,2026-05-28T16:19:17Z,00:02:47,61987,1418,344
6,Gr1-6VJPCic,Minecraft 基岩中的鬼抓人！破壞基岩後想辦法抓住逃跑者vs活下去逃到最後【方塊boy】,方塊boy,Gaming,2026-05-31T10:00:06Z,00:37:56,132278,5578,229
7,LBhcqYqeu0U,LEMONADE,aespa - Topic,Music,2026-05-29T04:02:48Z,00:03:07,2072438,44734,954
8,l0hD3KBwoiA,"No Peace Amongst the Stars | Warhammer 40,000 Official Cinematic Trailer","Warhammer 40,000",Gaming,2026-05-31T15:54:36Z,00:03:44,1113071,96897,5183
9,bxZE0WnIZIQ,ROBLOX 餐廳大亨3！我花了100天打造出 最賺錢的台灣料理店！連 iShowSpeed 都來看我的培根頭女僕！【Restaurant Tycoon 3 - 有感筆電】,有感筆電 Daptoper,Gaming,2026-05-29T11:22:55Z,00:25:48,337037,11052,781
10,hOIY3OhvD94,CORTIS (코르티스) 'Blue Lips' Official MV,HYBE LABELS,Music,2026-05-30T14:58:06Z,00:02:50,2042624,359071,23392
11,c88D6ypvLZo,我訓練野獸先生老婆 VS 我兒子 (Rivals 競爭者),SlingshotBwai 彈弓男孩,Gaming,2026-05-30T10:42:32Z,00:17:07,182293,3660,1465
12,Vfryu4DeWrc,還是會想念,BK - Topic,Music,2026-05-28T16:00:37Z,00:04:04,111729,1688,115
13,7LoWNkJVbww,我不應該玩這款怪怪的遊戲...【Dark Pals: The 1st Floor】,Yuan2020,Gaming,2026-05-29T09:33:20Z,00:37:21,226326,1635,149
14,7CUz7Ec7cWc,hate that i made you love me,Ariana Grande - Topic,Music,2026-05-29T04:01:20Z,00:03:18,2767647,119065,3192
15,7lfiFaxmzYo,星星幫傳說戰隊 備戰職業現役冠軍!,尼克星拳擊,Entertainment,2026-05-31T18:52:57Z,04:49:33,51971,427,44
16,9_3VDth0HOM,【MV首播】陳淑萍 vs 沈建豪 - 千里共明月 (官方完整版MV) HD,豪記唱片 HCM Music,Music,2026-05-29T02:00:39Z,00:04:55,36751,916,34
17,gyhA6Gye9bA,【DE JuN】多人恐怖攻堅！特種部隊遭到不死生物的追殺！NO BACKUP,DE JuN,Entertainment,2026-05-30T04:00:38Z,00:42:58,156534,3363,112
18,f6aYUpkNbkA,Marz23【觀自在 Avalokiteśvara】Official Music Video,Marz23,Music,2026-05-26T13:00:06Z,00:03:52,218124,3690,232
19,196rfKECMtU,【偷走腦腐】薩米找到接班人了？Sammy退出後繼續濫用！【Steal a Brainrot】【Roblox】【機械方塊】,R子_第2頻道,Gaming,2026-05-31T11:14:48Z,00:09:39,92432,1676,225
20,TT8vf1qi2uM,夏奇拉 Shakira & Burna Boy / Dai Dai (2026年世足賽主題曲)(中字MV),台灣索尼音樂 Sony Music Taiwan,Music,2026-05-29T12:00:03Z,00:04:01,194662,4296,293
21,RE2_-_vLH94,Minecraft 危險！能馴服最強大型恐龍的生存，別太靠近攻擊性極強的暴龍,阿斯asu,Gaming,2026-05-29T09:00:32Z,00:24:01,164022,3224,100
22,ARj1adoUoEU,飛ぶ時 / Vaundy：MUSIC VIDEO,Vaundy,Music,2026-05-30T11:00:06Z,00:04:15,778483,23509,458
23,Od_E3JwCXYI,[中文] TSW vs DCG | LCP 2026 Split 2 Knockout Stage Upper Bracket Finals,LoLEsportsTW ,Gaming,2026-05-31T13:41:18Z,05:11:24,79470,246,7
24,PEjARMUgcIU,Jackson Wang 王嘉爾 ╳ Mayday Ashin 五月天阿信 [ Alive ] 百事可樂品牌主題曲 Official Music Video,相信音樂BinMusic,Music,2026-05-28T01:00:24Z,00:04:18,744226,4268,299
25,9gK-297O8zo,【Stanley】AP魔趙信中路看似再戳實際上超猛！把劫戳到生活無法自理！一發Ｗ瞬間啟動風暴浪湧！根本新一代上分之神！？頂級蓋倫王殘血跳舞誘惑反殺！韓服隊友居然都會跑線支援，這環境也太舒服了吧！？,Stanley 史丹利,Gaming,2026-05-31T10:30:24Z,00:13:59,73352,1362,55
26,QiSpN1CXXsU,故鄉的月,Xianzai Ta Zai - Topic,Music,2026-05-23T12:45:43Z,00:05:13,78558,429,0
27,WM2CEyR9k-8,【LCK】BFX vs T1 排名戰T1目標2:0取得復活甲! BFX正面對決放出巴德本人! BO3全場精華 | 2026 LCK,Cielo-聯盟精華,Gaming,2026-05-30T12:35:50Z,00:35:27,66361,557,88
28,IKeAbFVgMCs,一首唱盡關羽千年的忠義與孤獨【三國古風歌】林知夏 Livia Lin - 單刀（關帝）Official Music View,林知夏 Livia Lin,Music,2026-05-24T04:00:06Z,00:05:21,71106,596,31
29,o2-6ph3jwsE,傳說對決 |弗洛倫新科研裝備一波團開了三次大？29%輸出一樣不配贏🗿| Sirenia 海牛 |弗洛倫,Sirenia海牛,Gaming,2026-05-30T10:08:09Z,00:09:32,64072,1041,52
30,ZXQpVnZ1Pfc,如果我们 (合唱版),承桓 - Topic,Music,2026-05-27T10:05:02Z,00:04:09,14053,126,0
31,VxqYuw6F4Yc,我成為了連勝第一!根本就是彈弓叔叔本人![Roblox][競爭者RIVALS],藍貓Blue cat,Gaming,2026-05-29T09:30:23Z,00:03:22,79930,2617,516
32,WnZEkQKPFXw,Maroon 5 - Animals (Lyrics),Miracle Music,People & Blogs,2026-05-28T13:00:23Z,00:03:51,1018747,2537,29
33,U7UknIEwcJ8,今年最大的平衡性調整！投擲角全面加強，吊飾角再次下修！小辣椒重新回到最強時期！總共35隻調整角色！【荒野亂鬥】,盛主播,Gaming,2026-05-31T08:10:06Z,00:16:49,69068,1536,196
34,g1GBE8eeNyM,MC 張天賦 - 男人怎可以 What Makes A Man (Official Music Video),MC 張天賦,Music,2026-05-28T13:00:06Z,00:04:40,345268,8454,350
35,CtBgt268jz4,"【尊】如果下載到這款章魚哥遊戲,別猶豫趕快刪掉 ! !【第二頻道】",人生魯宅x尊-第2頻道,People & Blogs,2026-05-28T10:00:06Z,00:11:52,148483,4690,150
36,MoZbwLzg47w,CORTIS 코르티스 'TNT'｜On the Spot｜온더스팟,1theK Originals - 원더케이 오리지널,Entertainment,2026-05-26T09:00:33Z,00:02:27,1224421,70303,1664
37,MMYeyz7tK4k,Minecraft 神奇數字馬戲團【幸運方塊😂來啦】最精彩的一集！抽到【凱恩】瞬間完蛋🤣全角色都有！我們【開到⭐帕姆尼Pomni】JAX跟安歌居然跑出來了！幸運方塊大亂鬥！,阿神,Gaming,2026-05-29T10:00:06Z,00:53:19,109234,4032,200
