Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,83C3TZ4Zm_o,aespa 에스파 'LEMONADE' MV,SMTOWN,Music,2026-05-29T04:00:16Z,00:03:12,6966358,410649,25306
2,95PftHrX5VU,《揭密日》港版官方終極預告 | DISCLOSURE DAY Official Final Trailer,Universal Pictures HK,Film & Animation,2026-05-27T16:58:01Z,00:02:39,71405,1155,227
3,47zXTfgEiS4,[中文] DNS vs NS | KT vs T1 | 2026 LCK,LCK-Carry,Gaming,2026-05-28T13:13:38Z,05:34:03,551722,2410,69
4,SlQR9iu09bQ,SON TUNG M-TP x TYGA | COME MY WAY | OFFICIAL MUSIC VIDEO,Sơn Tùng M-TP Official,Music,2026-05-28T13:00:06Z,00:04:18,14352286,1006787,135373
5,jLbst85USN8,Call of Duty: Modern Warfare 4 | Reveal Trailer,Call of Duty,Gaming,2026-05-28T14:53:06Z,00:02:50,26610155,171532,18504
6,bxZE0WnIZIQ,ROBLOX 餐廳大亨3！我花了100天打造出 最賺錢的台灣料理店！連 iShowSpeed 都來看我的培根頭女僕！【Restaurant Tycoon 3 - 有感筆電】,有感筆電 Daptoper,Gaming,2026-05-29T11:22:55Z,00:25:48,109405,5645,482
7,LBhcqYqeu0U,LEMONADE,aespa - Topic,Music,2026-05-29T04:02:48Z,00:03:07,595157,23159,662
8,7LoWNkJVbww,我不應該玩這款怪怪的遊戲...【Dark Pals: The 1st Floor】,Yuan2020,Gaming,2026-05-29T09:33:20Z,00:37:21,73927,813,84
9,Vfryu4DeWrc,還是會想念,BK - Topic,Music,2026-05-28T16:00:37Z,00:04:04,46336,868,89
10,RE2_-_vLH94,Minecraft 危險！能馴服最強大型恐龍的生存，別太靠近攻擊性極強的暴龍,阿斯asu,Gaming,2026-05-29T09:00:32Z,00:24:01,80143,2199,59
11,7CUz7Ec7cWc,hate that i made you love me,Ariana Grande - Topic,Music,2026-05-29T04:01:20Z,00:03:18,1150660,70069,2501
12,CtBgt268jz4,"【尊】如果下載到這款章魚哥遊戲,別猶豫趕快刪掉 ! !【第二頻道】",人生魯宅x尊-第2頻道,People & Blogs,2026-05-28T10:00:06Z,00:11:52,110819,3881,143
13,f6aYUpkNbkA,Marz23【觀自在 Avalokiteśvara】Official Music Video,Marz23,Music,2026-05-26T13:00:06Z,00:03:52,121920,3076,195
14,YOoazy2yswE,【Stanley】魔趙信中路！火箭腰帶超遠距離開捅！開局天崩只是我做做效果當個小丑而已，後期直接發飆成為單挑之神！會戰永遠滿血這角色到底怎麼殺？連續六把運氣不好？逆向爬分godown大失敗...,Stanley 史丹利,Gaming,2026-05-29T09:30:10Z,00:11:30,66801,1233,72
15,QC456eM3A3g,草戒指 (R&B Cover),像素世界 - Topic,Music,2026-05-22T10:03:15Z,00:04:10,171665,652,6
16,XGcN2wuKwbs,10萬訂閱Q&A | 競爭者連勝第一名,SlingshotBwai 彈弓男孩,Gaming,2026-05-27T09:15:30Z,00:08:53,141038,4915,2029
17,MoZbwLzg47w,CORTIS 코르티스 'TNT'｜On the Spot｜온더스팟,1theK Originals - 원더케이 오리지널,Entertainment,2026-05-26T09:00:33Z,00:02:27,867049,60548,1507
18,x46Zf0p1mhQ,尼克星｜職業選手海牛看完我的操作後…到底怎麼評價我?｜ 戰隊徵選篇｜傳說對決｜,尼克星拳擊,Gaming,2026-05-29T09:00:31Z,00:16:08,54716,941,147
19,PEjARMUgcIU,Jackson Wang 王嘉爾 ╳ Mayday Ashin 五月天阿信 [ Alive ] 百事可樂品牌主題曲 Official Music Video,相信音樂BinMusic,Music,2026-05-28T01:00:24Z,00:04:18,158807,3187,234
20,ebjnFwC3g0o,《鳴潮》3.4版本前瞻特別通訊,鳴潮,Gaming,2026-05-29T11:55:54Z,00:59:20,62338,2400,103
21,QiSpN1CXXsU,故鄉的月,Xianzai Ta Zai - Topic,Music,2026-05-23T12:45:43Z,00:05:13,45909,281,0
22,cAM1OB-FbKk,我建造了一個神級環形農場！有望超越培養花園嗎？【Build A Ring Farm】【Roblox】【機械方塊】,R子_第2頻道,Gaming,2026-05-28T10:27:46Z,00:17:01,104238,2821,119
23,IKeAbFVgMCs,一首唱盡關羽千年的忠義與孤獨【三國古風歌】林知夏 Livia Lin - 單刀（關帝）Official Music View,林知夏 Livia Lin,Music,2026-05-24T04:00:06Z,00:05:21,42678,422,31
24,i7EJPb9tgGk,【LCK】KT vs T1 PerfecT險中求生各種單殺! Keria完美安可曲現場演唱! BO3全場精華 | 2026 LCK,Cielo-聯盟精華,Gaming,2026-05-28T13:13:52Z,00:32:28,56359,692,159
