Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,V1Lr-_AxeR8,LE SSERAFIM (르세라핌) 'BOOMPALA' OFFICIAL MV,HYBE LABELS,Music,2026-05-22T03:58:06Z,00:03:29,9472035,391604,22193
2,sosJyyjUL6I,「名偵探柯南 高速公路的墮天使」中文電影預告,Anime & Movie 普威爾,Film & Animation,2026-05-21T07:24:58Z,00:01:58,105066,2415,135
3,YabNmvRGbhw,[中文] DNS vs GEN | BRO vs T1 | 2026 LCK,LCK-Carry,Gaming,2026-05-24T12:20:02Z,04:48:25,483486,1631,28
4,gMxAUI35O-g,glass,Gareth.T - Topic,Music,2026-05-19T10:00:48Z,00:03:06,1191426,21867,313
5,DgpA8_aeJMQ,TREASURE - ‘IF I’ M/V TRAILER,TREASURE (트레저),Entertainment,2026-05-26T15:00:03Z,00:00:36,317609,48238,6201
6,YK4G3dxYDfs,【Road to EWC】T1 vs DK EWC門票決定戰誰去巴黎? 老鬼許秀互相單殺激烈操作! BO5全場精華 | Road to EWC 26: Korea,Cielo-聯盟精華,Gaming,2026-05-25T11:54:15Z,01:08:30,118202,1167,216
7,tkwD6DLp62k,玖壹壹(Nine one one) 洋蔥 Onion - 我甘願重新愛過 Feat.狗柏 官方MV首播,玖壹壹,Music,2026-05-20T09:20:06Z,00:04:26,315668,7383,347
8,KtLs5FtZv2A,Minecraft 小心腳下！和紅月『破壞方塊同時全部破壞』的世界生存，結果不停害死對方,阿斯asu,Gaming,2026-05-25T09:00:05Z,00:21:15,180007,4830,145
9,PJyFND4-zR4,Jay Chou 周杰倫【Aurora in July 七月的極光】Official Music Video,周杰倫 Jay Chou,Music,2026-05-20T04:00:04Z,00:03:10,2124962,12045,1046
10,6-LzjZgQi6Y,尼克星｜我真的要打傳說實況主盃了…結果世界冠軍0322也參戰｜傳說對決｜,尼克星拳擊,Gaming,2026-05-26T09:00:03Z,00:23:55,70194,1107,228
11,XiRv3heIaXo,字字句句 (R&B),Lune音 - Topic,Music,2026-05-17T00:56:33Z,00:03:44,103257,135,0
12,e7nkQMjcq-Y,傳說對決 |星星幫戰隊徵選!多個月沒見到阿星歷史已經戰場的他會有不一樣嗎?| Sirenia 海牛 |,Sirenia海牛,Gaming,2026-05-25T08:42:40Z,00:09:40,106972,2318,173
13,QC456eM3A3g,草戒指 (R&B Cover),像素世界 - Topic,Music,2026-05-22T10:03:15Z,00:04:10,57386,296,1
14,lRL67yFpHVs,T1 vs DK Faker智商壓制送塔騙閃再單殺許哥！老年阿卡莉飛來飛去仍然跟鬼一樣！丨Game1丨2026 EWC Korea 勝部決賽,NLF賽事精華,Gaming,2026-05-25T08:18:46Z,00:13:52,54932,228,29
15,Gy32XOFT2ww,BOOMPALA,LE SSERAFIM - Topic,Music,2026-05-22T04:00:12Z,00:02:57,1921736,52668,1039
16,EY6-RpIuqmc,APL 2026 外卡賽D4－2026/05/24《Garena傳說對決》,Garena 傳說對決,Gaming,2026-05-24T15:43:56Z,07:44:05,170472,581,38
17,xLAPpTflZmk,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' Performance Video,aespa,Music,2026-05-23T09:00:03Z,00:02:38,881496,67054,1537
18,4iKnoV_pQgU,【有感筆電】Roblox版的貓咪大戰爭！放可愛的noob菜鳥士兵去打城堡！ 我花多少R幣，可以抽到超稀有的角色??【戰鬥磚塊 The Battle Bricks】,有感筆電 Daptoper,Gaming,2026-05-22T11:30:30Z,00:20:07,340023,9872,1054
19,MoZbwLzg47w,CORTIS 코르티스 'TNT'｜On the Spot｜온더스팟,1theK Originals - 원더케이 오리지널,Entertainment,2026-05-26T09:00:33Z,00:02:27,275940,35261,1168
20,aMf40xeEE-o,【偷走腦腐】薩米要退出偷腦紅了？Sammy最後一次管理員濫用！【Steal a Brainrot】【Roblox】【機械方塊】,R子_第2頻道,Gaming,2026-05-24T10:51:46Z,00:10:29,169208,2616,1307
21,fcnDmrtj6Sk,"Shakira, Burna Boy - Dai Dai (Official Video)",Shakira,Howto & Style,2026-05-23T16:14:03Z,00:04:01,25415951,1401388,78060
22,8xgcHrBmflM,T1 vs DK 絕境李相赫！Faker大魔王閃現向前拯救T1！Oner超狠夢魘助T1絕境大翻盤！Game 4 | 2026 EWC預選賽,呆梦demo官方频道,Gaming,2026-05-25T11:14:58Z,00:10:38,82342,549,149
23,irEuvmMd-8c,林俊杰 - 当你『我想对你好 你从来不知道 想你想你也能成为嗜好；我想对你说 却害怕都说错 好喜欢你知不知道』【动态歌词MV/Lyrics】,Romance Season,People & Blogs,2026-05-19T02:00:35Z,00:04:12,48647,47,1
24,LRtBJgMEFCM,這女玩家爆料了機長黃瓜的瓜 （超級勁爆）/ Roblox 競爭者 【HacqR游戲頻道】,HacqR 黑客,Gaming,2026-05-23T12:28:55Z,00:19:00,170187,5674,2976
25,E4hJ-Nfx6zA,"ITZY ""Motto"" Dance Video (Rooftop Ver.)",ITZY,Entertainment,2026-05-24T15:00:00Z,00:03:17,417924,51915,2316
26,efWH3UORwSE,【Stanley】奎恩打野史詩級Buff！設計師教你玩揆恩打野！野區狂奔先刷人頭再刷野！全圖支援到處收頭！好不容易逆轉結果隊友送光又被逆轉！？辛吉德到底送爽沒？每場都送十幾個頭到底怎麼爬到鑽二的==,Stanley 史丹利,Gaming,2026-05-25T09:30:17Z,00:13:42,89483,1583,79
27,GeLTLpaxGkA,理想混蛋 Bestards【總有一工 tsóng ū tsi̍t kang】Official Music Video,理想混蛋 Bestards,Music,2026-05-20T12:00:06Z,00:04:22,741869,6223,199
28,fYrbQBYeXnM,一場排位賽，但是我們打滿了10分鐘【荒野亂鬥】,盛主播,Gaming,2026-05-25T10:25:00Z,00:10:26,83301,1789,89
29,1jKnI_ib8c8,ITZY “Motto” M/V,JYP Entertainment,Music,2026-05-18T09:00:00Z,00:03:19,9068049,306986,30851
30,xosogPGJuPQ,Forza Horizon 6 地平線6 真的懂日本嗎？秋名山、首都高玩車聖地超還原？物理提升擠牙膏？萬年車模大重製？職業車手 實景比對 深度解析！地平線6：賽車遊戲新境界 Feat. Xbox,漫遊者WandereR,Gaming,2026-05-25T12:45:06Z,00:40:09,61381,3973,636
31,qLMm2NLXP0Q,我爱他,于冬然 - Topic,Music,2026-05-19T18:02:40Z,00:04:14,64386,202,2
32,UfbCbAWT0mc,騰訊猛砸40億的新作竟大翻車？連王者榮耀IP也救不了？上線熱度低迷的【王者榮耀世界 Honor of Kings World】事件,GamerSecret 玩家機密,Gaming,2026-05-25T11:00:22Z,00:11:58,192022,2665,775
33,f6aYUpkNbkA,Marz23【觀自在 Avalokiteśvara】Official Music Video,Marz23,Music,2026-05-26T13:00:06Z,00:03:52,15115,1324,95
34,iU9jxlmMXv0,【傳說對決】2026台北城市賽🔥排位嘴砲仔竟然在對面？君子報仇十年不晚 場上較勁分個高下 這次是真男人的對決【小珉】,MING小珉 中路教科書,Gaming,2026-05-24T07:09:50Z,00:13:06,63109,1165,74
35,gVa2B4_jRko,PP KRIT - เก่งไม่พอ GOOD (not) ENOUGH - Official MV,PP Krit Entertainment,Music,2026-05-25T13:00:06Z,00:03:39,268995,25099,2100
36,HPgqOfAbXxo,Minecraft 每走一步...地板都會消失【草地變＝沙子】😱？我們被【暗網怪物】盯上了😨！最後根本沒地方逃XDD！（生存率０.１％）,阿神,Gaming,2026-05-26T10:00:25Z,00:46:21,43674,2183,69
37,sj_ihME1l2E,"菲道尔 Firdhaus - 你好, 就足矣 (Official Music Video)",菲道尔 Firdhaus,Music,2026-05-20T12:00:06Z,00:05:36,276545,5420,287
38,IpnUx4SGSH4,我禁止在縮小躲貓貓裡被抓到！,小妞,Gaming,2026-05-23T09:00:19Z,00:12:01,77665,3546,88
39,LNo5DqaFw2s,大車人生,Cat'sMelody - Topic,Music,2026-05-18T21:26:23Z,00:03:58,43407,560,2
40,Tsvqc9KuxNY,我的世界：黑客入侵了我的服务器，于是我整蛊了他 #我的世界 #minecraft,阿柴MC,Gaming,2026-05-26T08:45:34Z,00:08:52,20256,376,19
41,nKyZDdpfEiQ,六哲 - 畢竟深愛過『你堅持著說要走 說他比我要溫柔 我明白你的追求 終於安靜放了手』【動態歌詞MV/Lyrics】,Nightfall Tunes,People & Blogs,2026-05-22T09:01:01Z,00:04:45,45603,97,2
42,Vx7eiycSDpk,【DE JuN】我買新車了！！！（絕對不是forza horizon 6）地平線６,DE JuN,Entertainment,2026-05-22T06:36:50Z,00:22:48,276505,5547,217
43,LZBnTR2RiZg,其實我,陳以謙 - Topic,Music,2026-05-19T10:02:14Z,00:04:12,36759,334,0
44,1TEkViXRyQc,全新夢魘級，雷姆/阿賴耶識/魯迪烏斯/厄卡倫通關！兀孫 黑巫術的終結之聲（神魔之塔x膽大黨x無職轉生xRe0）沒有使用魔法石復活/隊長戰友相同/沒有光屬,堯Live,Gaming,2026-05-25T14:41:53Z,00:15:43,29486,455,139
45,-5LVZyrYqcE,INHON胤宏【鈕扣】feat. @2000wtx 王泰翔 2000wtx,INHON,Music,2026-05-22T12:30:06Z,00:03:19,34212,1059,66
46,4jEDtKeKhkc,好久沒猜觀眾排位了🔎 Mooda的觀眾是否進步了？？【Mooda 官方中文頻道】,Mooda 官方中文頻道,Gaming,2026-05-25T11:00:06Z,00:16:33,39255,702,59
47,IufpX0FpH5c,can’t be blue “can’t love” (Feat. HAN (Stray Kids)) M/V,can't be blue 캔트비블루,Music,2026-05-26T03:00:09Z,00:03:29,413690,84301,4613
48,gbkT9nJcYI4,這是一場超級浪漫遊戲！來自26年前的震撼冒險！,壞孩子的角落,Gaming,2026-05-24T11:15:06Z,00:52:29,81048,4530,500
49,trlOTS4nKO4,IVE 아이브 'LUCID DREAM' MV,Sony Music (Japan),Music,2026-05-25T15:01:05Z,00:03:41,419863,37018,1610
50,Aee67v7loEY,(FW NaiLiu) 5/26 回國馬上開台 先打小號晚點跟蘿莉打排位,FW NaiLiu,Gaming,2026-05-26T13:25:10Z,02:48:05,37576,408,0
