Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,iTJSbJtS8MU,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,SMTOWN,Music,2026-05-11T09:00:56Z,00:03:09,10386570,382856,26061
2,Qb-N2obH5Os,《STRANGER THAN HEAVEN》發表第一支預告片,SEGAasia,Gaming,2026-05-07T00:09:01Z,00:04:58,117260,4659,515
3,Qjw1VJlh1xQ,[中文] T1 vs DK | KRX vs HLE | 2026 LCK,LCK-Carry,Gaming,2026-05-10T13:19:16Z,05:25:18,555999,1892,19
4,6Ycn9qZK09I,NMIXX(엔믹스) “Heavy Serenade” M/V,JYP Entertainment,Music,2026-05-11T09:00:04Z,00:03:32,8006948,163500,12233
5,MoyAio-MUZU,《紙房子》全新篇章持續發酵 | 正式預告 | Netflix,Netflix Taiwan,Entertainment,2026-05-09T20:28:32Z,00:01:05,27916,335,32
6,4mCyzzMlXY0,我在ROBLOX的+1跳躍進化塔裡進化成最搞笑的動物！,Yuan2020,Gaming,2026-05-10T05:09:53Z,00:12:28,181800,3389,112
7,hGqYdubpcCM,Heavy Serenade,NMIXX - Topic,Music,2026-04-23T05:58:50Z,00:03:00,819384,17046,341
8,vVr22IubMCQ,【DE JuN】到恐怖老頭家偷東西！盜賊小矮人(burglin' gnomes),DE JuN,Entertainment,2026-05-10T08:05:57Z,00:35:24,156441,3346,184
9,nCElUD0jvgo,CORTIS (코르티스) 'ACAI' Official MV,HYBE LABELS,Music,2026-05-11T11:58:06Z,00:03:11,2480560,373918,18466
10,r_KdjBjcqL8,【Road to EWC】BFX vs T1 T1的EWC就是要瘋狂打架! Peyz超肥艾希表演火上站A! BO3全場精華 | Road to EWC 26: Korea,Cielo-聯盟精華,Gaming,2026-05-12T09:58:06Z,00:23:57,68987,632,76
11,uzVdsZbYibQ,周深 ZHOU SHEN X MAYDAY 五月天 [ 如煙 Like Smoke ] 5525+2版 Official Stage Video,相信音樂BinMusic,Music,2026-05-10T13:25:16Z,00:05:42,203858,8477,720
12,NoFpOBrE4EQ,【LNG精華】哪有志翔天天哭 哪有八毛天天輸  / 《Gxmble With Your Friend》遊戲精華,玉子燒,People & Blogs,2026-05-10T11:02:13Z,00:31:50,122055,2488,128
13,ZAsxW7bkK-A,WDA (Whole Different Animal) (feat. G-DRAGON),aespa - Topic,Music,2026-05-11T09:00:46Z,00:02:54,1112518,27401,1059
