Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,a7ziV-RjqBo,Jay Chou 周杰倫【Who Cares 誰稀罕】Official Music Video,周杰倫 Jay Chou,Music,2026-04-24T04:00:01Z,00:04:23,2228917,12383,1300
2,BMBhxRmyQ-o,《復仇者聯盟5》超機密隱藏預告 一般人都看不到!  末日博士終於正臉現身! 一次整理CinemaCon所有漫威大揭露 | 超粒方 | Avengers: Doomsday,超粒方,Film & Animation,2026-04-23T04:00:06Z,00:12:54,345014,4698,149
3,jRJi-Z6DI74,[中文] T1 vs BFX | NS vs GEN | 2026 LCK,LCK-Carry,Gaming,2026-04-26T12:42:50Z,04:30:04,389760,1545,59
4,a2grcJdfXmY,LE SSERAFIM (르세라핌) 'CELEBRATION' OFFICIAL MV,HYBE LABELS,Music,2026-04-24T03:58:06Z,00:03:09,3772460,275794,13922
5,hruUfVftFSE,《超能路人甲》| 正式前導預告 | Netflix,Netflix Taiwan,Entertainment,2026-04-23T00:00:01Z,00:01:26,147914,1701,123
6,5qyUl00nxbU,我在ROBLOX裡對腦腐迷因惡作劇...結果！？,Yuan2020,Gaming,2026-04-26T01:00:10Z,00:08:01,138973,4405,103
7,kJ56IFIF95E,YESUNG 예성 '咲き誇る時を待つのは／Sakihokoru Toki o Matsu no wa' MV,SMTOWN,Music,2026-04-23T15:00:18Z,00:04:16,186305,13399,1910
8,06jfUX19YIg,【太空超人】國際版預告 - 6月3日（週三）宇宙同行,Sony Pictures 索尼影業,Entertainment,2026-04-24T08:00:00Z,00:02:26,91153,1265,244
9,JNVcnZjumP8,我第一個解鎖了Arch燃燒瓶...(第3季更新）,SlingshotBwai 中文頻道,People & Blogs,2026-04-25T11:13:25Z,00:15:26,168318,4789,6905
10,Wv6obGFVVIc,🎵 《誰來愛我》《街燈下》｜AI時代的孤單提問（致敬 李茂山 經典作品）Who Will Love Me｜當真心遇見AI的時代—感冉力翻唱,音符之光,People & Blogs,2026-04-21T22:00:39Z,00:07:22,98954,581,20
11,cKbEGColaaY,【泥面人】前導預告，今年10月大銀幕鉅獻,華納兄弟台灣,Film & Animation,2026-04-22T19:00:38Z,00:01:02,96579,554,150
12,Zqzq9j6QNOs,Minecraft 紓壓！合力把地獄的巨大圓形岩漿海全部抽乾為止【方塊boy】,方塊boy,Gaming,2026-04-24T10:00:06Z,00:37:47,219788,9755,270
13,j7Z4fo1-tRU,胡沫 - 嘉賓『我放下所有回憶 來成全你的愛情 卻始終不願相信 這是命』【動態歌詞MV/Lyrics】,Nightfall Tunes,People & Blogs,2026-04-23T09:00:56Z,00:05:34,42182,21,0
14,gRZlaEbhbqs,NMIXX(엔믹스) “Heavy Serenade” Trailer,JYP Entertainment,Music,2026-04-21T13:00:01Z,00:02:26,450920,50435,3115
15,3TXAOBgms_M,最酷造型還有新武器！？賽季大更新！漆彈槍大重做！？？【 Rivals 競爭者】,RD 阿東,Gaming,2026-04-25T04:15:06Z,00:06:29,129739,3158,345
16,7WuO_XaXsCY,CELEBRATION,LE SSERAFIM - Topic,Music,2026-04-24T04:02:43Z,00:02:33,858458,31233,912
17,cm4TF1OE4JM,【Roblox】當KN團長去考自己的團👿【競爭者Rivals】,死神君,Gaming,2026-04-26T10:01:00Z,00:10:22,60519,1774,225
18,zurhFnClzd4,Detour,A-Lin官方專屬頻道 - Topic,Music,2026-04-23T10:03:02Z,00:04:37,62825,877,26
19,qbp2AiVvI2g,【DE JuN】杆神歸位！這到底是打球還是打人？高爾夫大亂鬥,DE JuN,Entertainment,2026-04-26T10:18:11Z,00:45:14,80654,2043,74
20,lvCMf4eu2_k,Andy - 阿杜「可是 Andy 活着是不需道理 谁都可能暂时的失去勇气 外面不安的世界 骚动的心情 不能熄灭曾经你拥有炽热的心」【动态歌词/Moonlight Tunes】,Moonlight Tunes,People & Blogs,2026-04-18T09:01:05Z,00:05:12,122451,104,3
21,Qp3xE-Lb_5I,【偷走腦腐】Roblox傳說駭客John Doe！運氣爆棚瘋狂出貨！【Steal a Brainrot】【Roblox】【機械方塊】,R子_第2頻道,Gaming,2026-04-26T10:32:23Z,00:12:43,71755,1421,183
22,A7KbelltKEM,HoYoHoYoにしてあげる♪ / 初音ミク×銀狼LV.999【崩壊：スターレイル】,Hatsune Miku,Music,2026-04-23T10:00:07Z,00:01:54,2702845,254647,4322
23,hrAYV-dktDE,【Blox Fruits】2026果實排名！依然還是動物系的天下嗎？ 【Roblox 海賊王】【機械方塊】,R子,Gaming,2026-04-25T12:20:56Z,00:38:14,92964,2455,281
24,0xlmPglHEqQ,张远 - 嘉宾『至少我还能够成为那个 见证你们爱情的嘉宾；遇见你的他真的好幸运 但愿他会比我更爱你』【动态歌词MV/Lyrics】,Romance Season,People & Blogs,2026-04-17T09:00:05Z,00:05:34,421043,278,8
25,PiZAQP3MHFI,我被關進超級監獄😱我要怎麼逃出去呢⁉️,神貓大爛 Canetago,Gaming,2026-04-25T09:00:00Z,00:12:03,47201,2373,56
26,OHAjc-ayhus,ヨルシカ - あぶく（OFFICIAL VIDEO）,ヨルシカ / n-buna Official,Music,2026-04-24T09:00:36Z,00:03:55,1520538,87016,3904
27,-9OdOKx2eP8,Minecraft 壯觀，整個世界都是地底的巨型洞窟生存深處有什麼？,阿斯asu,Gaming,2026-04-25T09:00:00Z,00:15:05,92751,2676,87
28,5sOgJQ3N03Q,REDRED,CORTIS - Topic,Music,2026-04-20T09:00:18Z,00:02:44,3726557,131409,4653
29,I_RhKCuMQMY,【Stanley】頂級IE蓋倫中後期無解高地一轉三！！野區極限逃生還自帶企鵝嘲諷！出獵魔弩箭50秒一個大絕！竟有觀眾斗內斗到老婆生氣！？胖叔叔談品牌行銷以及貼牌貨！？,Stanley 史丹利,Gaming,2026-04-25T09:30:07Z,00:10:38,85170,1580,72
30,P-v1Eyuo2Vo,DONGHAE ‘해 떴네’ MV,SUPER JUNIOR-D&E,Entertainment,2026-04-20T09:00:36Z,00:03:12,813623,26406,3059
31,sl4Gh6fFuJo,【館長直播完整版】2026/04/26/週日 無恥假新聞可憐的阿伯~ 柏楊學識高各個精神好神市長,館長惡名昭彰,Gaming,2026-04-26T16:18:11Z,04:09:25,72274,3665,175
32,p4ahGSFTY-c,aespa 에스파 'LEMONADE' Complæxity Trailer,aespa,Music,2026-04-26T15:00:07Z,00:02:41,695882,90140,5190
33,3KX74S2FHO8,"【尊】如果早知道,玩遊戲也會被登大人...【第二頻道】",人生魯宅x尊-第2頻道,People & Blogs,2026-04-23T10:00:06Z,00:14:04,153541,5185,179
34,RLpax3nfv8A,心經 | 空，不是什麼都沒有,AI巷仔內 - Topic,Music,2026-04-23T00:36:51Z,00:05:07,47004,726,0
35,4FsR0GiFeiI,傳說對決 |苦蹲多季終於探出頭了?ANK VS BMG Liting真的太強大了...血C男孩一舉殺進線下賽!| Sirenia 海牛 |比賽解說,Sirenia海牛,Gaming,2026-04-25T11:06:49Z,00:13:44,42191,725,41
36,u59hHbJ-uuQ,PPLIN x Aioz - 一線兩點 (Official Music Video),PPlin 林芃逸,Music,2026-04-24T11:00:06Z,00:02:44,27894,1280,88
37,Insr1-iXIKE,尼克星｜我遇到最扯觀眾…賭輸了還說沒賭？當我白癡？｜傳說對決｜,尼克星拳擊,Gaming,2026-04-25T14:32:10Z,00:14:53,39749,593,201
38,HA3WzXw8vM8,Fujii Kaze - It's Alright [Official video],Fujii Kaze,Music,2026-04-23T03:00:06Z,00:03:20,1860136,77275,5327
39,oVDLG0ap7zM,Minecraft 麥塊【暗網１格⭐木筏生存】深海中...有怪物追殺我😨划著【木筏１格寬】要如何活下來 !??,阿神,Gaming,2026-04-24T09:53:41Z,00:43:37,109013,4759,160
40,MFTwxAZIEBk,八三夭【身外之物 Material Things】Official Music Video,八三夭 831,People & Blogs,2026-04-24T04:00:07Z,00:04:38,45333,1535,63
41,SN9pO1m_ZaM,達米安比吊飾角還扯！二星搭配大招用起來又強又無腦！如果對手是兩個人站一起，恭喜你們已經沒了！這是更新BUG最多的一個版本嗎😭【荒野亂鬥】,盛主播,Gaming,2026-04-25T04:00:20Z,00:08:34,79405,1431,235
42,xp13O1M0PPM,愛你一萬年,Wragon - Topic,Music,2026-04-22T18:39:35Z,00:07:48,40491,251,0
43,QsGs-YRPye4,[中文] SHG vs DCG | MVK vs CFO | LCP 2026 Split 2 Regular Season Week 4 Day 2,LoLEsportsTW ,Gaming,2026-04-26T13:51:53Z,05:17:09,60417,187,12
44,TomjtCyesT0,icyball 冰球樂團 - 世紀末寂寞 (Official Video),icyball 冰球樂團,Music,2026-04-24T12:00:06Z,00:04:30,43242,2057,85
45,AJnx1reM6yA,【有感筆電】Roblox 競爭者！但！觀眾決定我可以使用哪一個武器😭 (我還可以贏?)【Rivals 直播】,有感筆電 Daptoper,Gaming,2026-04-25T14:30:38Z,02:14:21,103335,5044,210
46,jF7UzHC082U,错位时空,艾辰 - Topic,Music,2026-04-20T15:15:40Z,00:03:18,36874,292,0
47,zAb90fE3dAo,T1 vs BFX 上中野劣勢拉克絲本人拯救T1！唯一輔核Keria主場四連POM！丨Game2丨2026 LCK Round 1,NLF賽事精華,Gaming,2026-04-26T10:00:17Z,00:14:25,26752,189,38
48,KmLnD6_14Yc,張秀卿 - 心浮字 (官方完整版MV) HD,豪記唱片 HCM Music,Music,2026-04-24T02:00:15Z,00:03:42,35611,750,35
49,RtKx1py9b5U,我們被感染只能活下一個人！,小妞,Gaming,2026-04-25T09:00:42Z,00:12:06,44865,1906,51
50,ySpIrrCmiCU,風のアンセム feat. suis from ヨルシカ  (Wind's Anthem) - Eve Music Video,Eve,Music,2026-04-24T10:00:49Z,00:04:04,859072,66651,2252
