Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,V1Lr-_AxeR8,LE SSERAFIM (르세라핌) 'BOOMPALA' OFFICIAL MV,HYBE LABELS,Music,2026-05-22T03:58:06Z,00:03:29,8539371,371420,21582
2,b1u1kUdDOys,STAY SHARP // Rogue Skin Reveal Trailer - VALORANT,VALORANT,Gaming,2026-05-25T13:00:28Z,00:01:32,373430,17160,1052
3,YabNmvRGbhw,[中文] DNS vs GEN | BRO vs T1 | 2026 LCK,LCK-Carry,Gaming,2026-05-24T12:20:02Z,04:48:25,478292,1622,27
4,gMxAUI35O-g,glass,Gareth.T - Topic,Music,2026-05-19T10:00:48Z,00:03:06,1046320,20967,310
5,sosJyyjUL6I,「名偵探柯南 高速公路的墮天使」中文電影預告,Anime & Movie 普威爾,Film & Animation,2026-05-21T07:24:58Z,00:01:58,98723,2318,127
6,YK4G3dxYDfs,【Road to EWC】T1 vs DK EWC門票決定戰誰去巴黎? 老鬼許秀互相單殺激烈操作! BO5全場精華 | Road to EWC 26: Korea,Cielo-聯盟精華,Gaming,2026-05-25T11:54:15Z,01:08:30,76039,884,178
7,tkwD6DLp62k,玖壹壹(Nine one one) 洋蔥 Onion - 我甘願重新愛過 Feat.狗柏 官方MV首播,玖壹壹,Music,2026-05-20T09:20:06Z,00:04:26,277769,7005,335
8,KtLs5FtZv2A,Minecraft 小心腳下！和紅月『破壞方塊同時全部破壞』的世界生存，結果不停害死對方,阿斯asu,Gaming,2026-05-25T09:00:05Z,00:21:15,110769,3636,117
9,PJyFND4-zR4,Jay Chou 周杰倫【Aurora in July 七月的極光】Official Music Video,周杰倫 Jay Chou,Music,2026-05-20T04:00:04Z,00:03:10,2095446,11738,1033
10,EY6-RpIuqmc,APL 2026 外卡賽D4－2026/05/24《Garena傳說對決》,Garena 傳說對決,Gaming,2026-05-24T15:43:56Z,07:44:05,168674,577,37
11,XiRv3heIaXo,字字句句 (R&B),Lune音 - Topic,Music,2026-05-17T00:56:33Z,00:03:44,91032,123,0
12,4iKnoV_pQgU,【有感筆電】Roblox版的貓咪大戰爭！放可愛的noob菜鳥士兵去打城堡！ 我花多少R幣，可以抽到超稀有的角色??【戰鬥磚塊 The Battle Bricks】,有感筆電 Daptoper,Gaming,2026-05-22T11:30:30Z,00:20:07,325228,9610,1028
13,Gy32XOFT2ww,BOOMPALA,LE SSERAFIM - Topic,Music,2026-05-22T04:00:12Z,00:02:57,1336621,43676,975
14,aMf40xeEE-o,【偷走腦腐】薩米要退出偷腦紅了？Sammy最後一次管理員濫用！【Steal a Brainrot】【Roblox】【機械方塊】,R子_第2頻道,Gaming,2026-05-24T10:51:46Z,00:10:29,151605,2480,1265
15,xLAPpTflZmk,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' Performance Video,aespa,Music,2026-05-23T09:00:03Z,00:02:38,750818,62348,1506
16,lRL67yFpHVs,T1 vs DK Faker智商壓制送塔騙閃再單殺許哥！老年阿卡莉飛來飛去仍然跟鬼一樣！丨Game1丨2026 EWC Korea 勝部決賽,NLF賽事精華,Gaming,2026-05-25T08:18:46Z,00:13:52,46357,195,27
17,1jKnI_ib8c8,ITZY “Motto” M/V,JYP Entertainment,Music,2026-05-18T09:00:00Z,00:03:19,8814963,303270,30299
18,LRtBJgMEFCM,這女玩家爆料了機長黃瓜的瓜 （超級勁爆）/ Roblox 競爭者 【HacqR游戲頻道】,HacqR 黑客,Gaming,2026-05-23T12:28:55Z,00:19:00,155723,5374,2805
19,GeLTLpaxGkA,理想混蛋 Bestards【總有一工 tsóng ū tsi̍t kang】Official Music Video,理想混蛋 Bestards,Music,2026-05-20T12:00:06Z,00:04:22,593891,5792,188
20,e7nkQMjcq-Y,傳說對決 |星星幫戰隊徵選!多個月沒見到阿星歷史已經戰場的他會有不一樣嗎?| Sirenia 海牛 |,Sirenia海牛,Gaming,2026-05-25T08:42:40Z,00:09:40,72919,1775,149
21,fcnDmrtj6Sk,"Shakira, Burna Boy - Dai Dai (Official Video)",Shakira,Howto & Style,2026-05-23T16:14:03Z,00:04:01,18629571,1163109,69520
22,8xgcHrBmflM,T1 vs DK 絕境李相赫！Faker大魔王閃現向前拯救T1！Oner超狠夢魘助T1絕境大翻盤！Game 4 | 2026 EWC預選賽,呆梦demo官方频道,Gaming,2026-05-25T11:14:58Z,00:10:38,58096,450,122
23,sj_ihME1l2E,"菲道尔 Firdhaus - 你好, 就足矣 (Official Music Video)",菲道尔 Firdhaus,Music,2026-05-20T12:00:06Z,00:05:36,238491,5115,278
24,efWH3UORwSE,【Stanley】奎恩打野史詩級Buff！設計師教你玩揆恩打野！野區狂奔先刷人頭再刷野！全圖支援到處收頭！好不容易逆轉結果隊友送光又被逆轉！？辛吉德到底送爽沒？每場都送十幾個頭到底怎麼爬到鑽二的==,Stanley 史丹利,Gaming,2026-05-25T09:30:17Z,00:13:42,70743,1345,75
25,qLMm2NLXP0Q,我爱他,于冬然 - Topic,Music,2026-05-19T18:02:40Z,00:04:14,47863,164,2
26,fYrbQBYeXnM,一場排位賽，但是我們打滿了10分鐘【荒野亂鬥】,盛主播,Gaming,2026-05-25T10:25:00Z,00:10:26,55458,1417,77
27,E4hJ-Nfx6zA,"ITZY ""Motto"" Dance Video (Rooftop Ver.)",ITZY,Entertainment,2026-05-24T15:00:00Z,00:03:17,310743,43639,2065
28,iU9jxlmMXv0,【傳說對決】2026台北城市賽🔥排位嘴砲仔竟然在對面？君子報仇十年不晚 場上較勁分個高下 這次是真男人的對決【小珉】,MING小珉 中路教科書,Gaming,2026-05-24T07:09:50Z,00:13:06,56862,1059,72
29,LNo5DqaFw2s,大車人生,Cat'sMelody - Topic,Music,2026-05-18T21:26:23Z,00:03:58,33633,490,2
30,IpnUx4SGSH4,我禁止在縮小躲貓貓裡被抓到！,小妞,Gaming,2026-05-23T09:00:19Z,00:12:01,69545,3300,82
31,B402rKl4bUg,Olivia Rodrigo - the cure (Official Music Video),OliviaRodrigoVEVO,Music,2026-05-22T04:00:06Z,00:05:15,6848445,535208,23536
