Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,naoGk-Zjc1s,BABYMONSTER - 'SUGAR HONEY ICE TEA' M/V,BABYMONSTER,Music,2026-06-07T15:00:06Z,00:03:07,16595701,761598,71484
2,q4X37dEr0bg,Monster Hunter Wilds: Ascendance - 宣傳預告片,capcomasia,Gaming,2026-06-05T23:17:53Z,00:01:59,77939,1894,544
3,1AGn7j-nH9k,[中文] KT vs DK | 2026 LCK Road to MSI: Round 2,LCK-Carry,Gaming,2026-06-07T13:33:06Z,05:46:16,483337,1499,46
4,PVzSI9PpkXc,마마무(MAMAMOO) '4 Flowers' MV,MAMAMOO,Music,2026-06-04T09:00:22Z,00:03:23,5016130,146181,10780
5,jPPo-Dm3Vm0,『Wo Long 2: Wings of Ember』（臥龍2：鳳火連天）發布預告片,Koei Tecmo Taiwan 臺灣光榮特庫摩,Gaming,2026-06-07T18:48:35Z,00:01:25,32785,546,146
6,4iOH81GDVKw,Minecraft 用你的道具，受傷是你死！血量和背包『全都在其他人身上』的心結生存【方塊boy】,方塊boy,Gaming,2026-06-08T10:00:06Z,01:10:59,89652,4101,181
7,_cTAlxWtmS4,陳華Hua Chen【如果我很平庸Perfectly Ordinary】Official MV,陳華HuaChen,Music,2026-06-05T12:00:06Z,00:04:17,248604,5349,347
8,_wbl0-cstmQ,《女神異聞錄６》前導預告片,SEGAasia,Gaming,2026-06-07T18:18:01Z,00:01:19,25636,643,87
9,QFJ67-ZifLQ,【有感筆電】我下載了暗網版本的 Roblox 遊戲.. 千萬不要來玩！【Flood Escape V1.7 全破】,有感筆電 Daptoper,Gaming,2026-06-05T11:15:08Z,00:27:49,347879,10602,851
10,zGsj0fDHB_s,BOYNEXTDOOR (보이넥스트도어) 'VIRAL' Official MV,HYBE LABELS,Music,2026-06-08T08:59:06Z,00:03:29,1911644,112530,12143
11,LPRhCLFiih8,《劍星：血雨》又被DEI盯上！抹黑的手法都和上次一模一樣,第九頻道,Gaming,2026-06-07T08:23:58Z,00:12:11,79056,2805,895
12,_fOpP4wMpfk,星星幫傳說戰隊決戰前夜 明天挑戰最強隊!!,尼克星拳擊,Entertainment,2026-06-08T17:28:52Z,04:12:24,64553,552,49
13,lC8XSEDIfTA,过客 (R&B COVER),夜舟 Night Boat - Topic,Music,2026-06-03T10:04:11Z,00:04:44,146069,356,0
14,HCYultesGEg,DAVE THE DIVER - In the Jungle DLC Launch Trailer,MINTROCKET,Gaming,2026-06-07T20:23:26Z,00:01:32,141967,5890,416
15,ePw3xdN7T7E,Minecraft 掉落現代軍火！所有『掉落物品隨機但是最強』生存，甚至出現遭遇強大怪物,阿斯asu,Gaming,2026-06-04T09:00:02Z,00:25:24,317585,5134,171
16,SzJXikN_4wA,"I Knew It, I Knew You",Taylor Swift - Topic,Music,2026-06-05T04:00:37Z,00:02:59,4016204,165877,8526
