Rank,Video_ID,Title,Channel,Upload_Time,Duration,View_Count,Like_Count,Comment_Count,Total_Heat_Score,Appearance_Count
1,iTJSbJtS8MU,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,SMTOWN,2026-05-11T09:00:56Z,00:03:09,14457533,493006.0,32130,285,6
2,hGqYdubpcCM,Heavy Serenade,NMIXX - Topic,2026-04-23T05:58:50Z,00:03:00,4033440,43916.0,698,234,6
3,ZAsxW7bkK-A,WDA (Whole Different Animal) (feat. G-DRAGON),aespa - Topic,2026-05-11T09:00:46Z,00:02:54,4559630,56661.0,1468,198,6
4,Bso7klh06k4,[中文] GEN vs T1 | BFX vs NS | 2026 LCK,LCK-Carry,2026-05-16T13:55:12Z,06:17:35,751331,3474.0,70,192,4
5,HJ60xJ2UPQA,Backrooms後室最新預告片分析 ASYNC確認存在電影世界觀 Entity實體首次亮相預告片！【丁丁DingDing】,丁丁 DingDing,2026-05-16T04:37:30Z,00:13:29,48339,1446.0,89,190,4
