Rank,Video_ID,Title,Channel,Upload_Time,Duration,View_Count,Like_Count,Comment_Count,Total_Heat_Score,Appearance_Count
1,Qb-N2obH5Os,《STRANGER THAN HEAVEN》發表第一支預告片,SEGAasia,2026-05-07T00:09:01Z,00:04:58,117260,4659,515,340,7
2,x3eqqoZPV_E,BABYMONSTER - '춤 (CHOOM)' M/V,BABYMONSTER,2026-05-04T09:21:33Z,00:03:25,57011848,1098218,76847,317,7
3,ecbfKVwM508,【奧德賽】最新預告 - 17.07.26 全台戲院見,環球影片 官方頻道,2026-05-05T05:09:27Z,00:02:26,295710,2715,285,267,6
4,SCySL2FKuCc,Blue Lips,CORTIS - Topic,2026-05-04T09:00:40Z,00:02:22,1810527,101437,4684,196,5
5,iJZzZh91wXw,停顿的钟 R&B完整版,凯文-Kevin - Topic,2026-05-05T22:35:04Z,00:03:14,183535,1414,0,189,5
