Comment_Author,Comment_Text,Comment_Date,Like_Count
@ABCDE-n2p,"음방 한주만 돌아서 너무 아쉬운데 홍보 콘텐츠라도 많이 나왔으면 좋겠다..

알비덥은 잇츠 라이브처럼 대중은 거의 안 보고 팬들만 찾아보는 콘텐츠 위주로 홍보하기로 유명함..
섭외가 들어오거나 아티스트가 어디 나가고 싶다고 강하게 요구를 해야만 홍보 스케줄 잡나봄..
노래를 이렇게 잘 만들어놓고 홍보 거의 안하면 감다죽인데..

솔직히 돌들의 침묵, 아이돌 인간극장 같이 마마무라는 그룹의 매력을 잘 보여줄 수 있는 콘텐츠 많이 나와주길 바라는데 짠한 형에서 끝나는 건 아니겠지...ㅠㅠ

심지어 예고편 내용이 고고베베 때부터? 예능 나가면 꼭 한번씩 질문했던 싸웠던 썰이라서 질림
안 그래도 마마무 단체 콘텐츠 별로 없어서 귀한데 무려 고고베베 때 메이저 방송인 아형이나 인생술집에서 했던 얘기를 4년 뒤 일낼라 홍보하러 다닐 때 또 하고 또 하니까 답답했음
특히 아형.. 이번에 아형은 안 나갔으면...
근데 일낼라 3년 반 뒤인 지금 짠한 형에서 또 하네...
제발 이번 홍보 활동중엔 짠한 형 빼고는 마마무 싸운 썰에 대한 질문 좀 그만 했으면 좋겠다..
색다른 질문이나 음악, 안무 같은 것 좀 질문했으면..",2026-06-05T09:41:05Z,62
@emanahmed-i2w6p,This first comeback ever make me wanna cry this bad 🥹♥️♥️♥️,2026-06-09T00:46:47Z,6
@aimesoares8180,The only group where I can't pick a favorite. I love these four so much that it feels like my heart will burst out of my chest just seeing them smiling together.,2026-06-07T17:56:35Z,44
@ElaheBorhani-w9b,I missed the feeling of being melted in to a song…,2026-06-08T20:00:22Z,20
@Iiq8i,"This comeback is everything I hoped for and more. The song is catchy, the vocals are stunning, the mv and the whole vibe is just amazing. MAMAMOO never misses!",2026-06-04T09:12:42Z,2802
@오리너굴희-r8g,"내가 14살때부터 좋아했던 맘무
잠시 멀어졌었는데 이제야 원래의 맘무의 노래로 돌아와서 너무 행복하다.
언니들을 좋아했던 14살은 어느새 25살이 되었다.
그냥 하염없이 소중하고 눈물이 차곡 쌓여있음.. 그냥 너무 좋음 내 예전 기억이 되돌아온것같아서..",2026-06-09T14:07:41Z,12
@PakuBumi-d4i,So emotional thinking about how it’s their 12th year. A comeback after almost 4 years? I’m literally crying tears of joy right now!,2026-06-04T09:07:06Z,1225
@silentnight4025,Bring the vocals back to kpop,2026-06-08T18:11:17Z,19
@chocolatestrawberry7694,Literally the best Kpop song I heard in a long time and I'm not even a stan. I've been missing real music in kpop and real singing .,2026-06-09T09:45:00Z,31
@d_duck,it's so refreshing to listen to a k-pop group song with decent vocals recently. they ate!,2026-06-09T08:48:22Z,4
