Rank,Video_ID,Title,Channel,Upload_Time,Duration,View_Count,Like_Count,Comment_Count,Total_Heat_Score,Appearance_Count
1,PVzSI9PpkXc,마마무(MAMAMOO) '4 Flowers' MV,MAMAMOO,2026-06-04T09:00:22Z,00:03:23,5792949,151601.0,11089,285,6
2,83C3TZ4Zm_o,aespa 에스파 'LEMONADE' MV,SMTOWN,2026-05-29T04:00:16Z,00:03:12,22819302,696320.0,38646,245,7
3,tKwH3pNFEbo,【超少女】終極預告，6月24日（週三）大銀幕鉅獻,華納兄弟台灣,2026-06-03T16:05:08Z,00:02:11,68021,1250.0,400,228,6
4,HLMX2w3cwuE,God of War Laufey - Gameplay Reveal Trailer | PS5 Games,PlayStation,2026-06-02T22:15:01Z,00:23:45,6882019,409567.0,29625,228,6
5,ePw3xdN7T7E,Minecraft 掉落現代軍火！所有『掉落物品隨機但是最強』生存，甚至出現遭遇強大怪物,阿斯asu,2026-06-04T09:00:02Z,00:25:24,331848,5267.0,176,222,6
