Comment_Author,Comment_Text,Comment_Date,Like_Count
@potato_chip01,sm finally remembered they have rappers in their ggs,2026-05-29T06:18:37Z,24955
@1tzcelinee,Now THIS is AESPA.,2026-06-08T03:49:06Z,85
@joybestgirlfr,"I love how this era all the girls had their moment in the spotlight, they all shone so brightly.",2026-05-30T01:05:53Z,1120
@shaunbang,Definition of Aespa for me: Omg Giselle looks amazing. Ohhh ningning looking flawless too! Holy winter is so freaking pretty. Karina is perfection. Then repeat for the entire MV,2026-06-09T23:26:56Z,14
@CaptainElijahAviation,This is that loud aespa that I’ve been so desperate to get back omg. SM this is how you utilize vocalists and rappers,2026-05-29T10:38:30Z,1105
@æ닝닝,"EVERYONE who is responsible for the production, filming, editing and directing should be given a raise because DAMN they did an amazing job!!",2026-05-30T06:41:05Z,10073
@icantgowonwithoutchuu,"Can we talk about how no single title track ever sounds the same? AESPA always tries new things but still sounds so uniquely them. This is such a perfect cb, song, album, concept. I'LL MAKE YOU LEMONADE!! ✨🗣️🍋",2026-05-29T22:57:05Z,457
@honghimng4576,aespa owned the summer era this year,2026-06-08T06:32:40Z,9
@Haebommyy,They were so happy to make lemonade,2026-05-30T00:40:40Z,283
@gonchiii,"it’s like WHIPLASH and SPICY had a child, love it",2026-05-29T13:34:33Z,14504
@Nabisonyeo_ss,aespa really is THAT group,2026-05-29T04:37:31Z,3960
@littlejessica9668,Lemonade deserves many wins,2026-06-09T04:32:14Z,43
@aerigeddon,"i love this 1960's-ish scenery and outfits, aespa being different and unique as always",2026-05-29T04:45:41Z,6555
@SitiAisyahUmrah,""" I'll take my karma straight, I'll make it lemonade "" is officially my life motto now, period",2026-05-29T10:07:39Z,8319
@FrankJohnGelera,"This is what KPOP is supposed to be Wacky,experimental and not afraid to be different and weird",2026-05-29T06:12:25Z,349
@vid6804,spicy's energy + whiplash's attitude + supernova's chaos = lemonade 🍋,2026-05-29T04:39:18Z,16704
@aerigeddon,aespa's never ending saga releasing the most iconic bridges and endings,2026-05-29T04:33:20Z,464
@spvcemagic,Their retro outfits are so elegant and suit them so much now I want a retro concept,2026-05-29T14:50:45Z,1123
@Pandaboi_spedup,"finally listening to an actual K-pop in proper Korean, u go queens!!!",2026-06-08T16:20:38Z,6
@narcissism0411,"OMG, this comeback has broken so many records, and the Spotify debut is amazing too. I hope they get lots of wins this era. Keep streaming and voting mys",2026-05-30T14:33:42Z,1241
